sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Bowen Basin - North,31201,2792,6498,48,32,80,3945,2984,6937,63,57,126,737,518,1257,13,12,21,813,591,1408,52,35,89,712,504,1212,5,12,17,776,546,1317,0,3,7,41,31,77,3,3,7,54,34,87,703,764,1465,11385,10803,22182,1331,1229,2565,13418,12798,26211,3,0,3,15,11,25,3,4,5,20,13,33,74,73,147,1113,1029,2143,191,167,356,1379,1273,2650,779,836,1616,12509,11840,24353,1526,1404,2933,14812,14080,28897,38,7,46,732,244,973,866,230,1093,1637,482,2117
Robina,30908,4155,7676,27,39,64,3594,4256,7848,6,10,21,769,878,1646,3,12,18,779,900,1683,8,4,12,469,541,1012,10,3,15,488,553,1040,3,0,3,64,62,129,0,0,3,67,63,130,162,177,343,12732,13474,26206,496,556,1060,13395,14211,27607,0,0,0,0,0,0,0,0,0,0,0,0,94,146,242,7609,9114,16722,531,685,1216,8232,9940,18180,258,326,582,20339,22586,42923,1031,1244,2270,21628,24152,45780,0,17,15,596,773,1372,113,145,260,712,934,1650
Southport,30909,4922,9416,38,39,76,4625,5061,9689,31,29,65,1065,1081,2147,13,15,30,1106,1127,2235,23,20,49,751,890,1636,4,25,33,781,938,1713,0,0,3,101,138,236,0,4,4,99,137,238,315,322,640,14514,14802,29323,803,813,1615,15635,15940,31576,0,0,0,0,0,0,3,0,9,3,0,5,162,178,341,9468,10792,20261,868,936,1809,10502,11906,22411,476,501,979,23991,25596,49580,1677,1752,3431,26147,27849,53988,26,26,49,908,899,1810,203,181,384,1140,1106,2246
Surfers Paradise,30910,2973,5680,18,22,45,2760,3038,5803,15,4,20,596,636,1233,0,0,4,610,645,1254,4,0,5,389,391,779,4,3,7,395,399,794,4,4,6,66,73,136,0,3,5,72,81,148,63,53,114,5799,6044,11837,327,324,647,6191,6417,12606,0,0,0,0,0,0,0,0,0,0,0,0,90,102,196,10379,10312,20693,1730,1606,3336,12201,12019,24224,157,155,307,16180,16357,32533,2057,1925,3985,18392,18436,36827,8,12,15,499,492,996,336,368,710,844,874,1715
Forest Lake - Oxley,31001,4500,8793,35,31,69,4482,4702,9182,66,75,139,1013,1162,2177,5,10,16,1084,1249,2336,48,56,104,1329,1699,3028,14,22,31,1388,1771,3164,5,9,11,519,745,1266,0,9,11,528,764,1292,782,889,1664,26016,27194,53209,1380,1459,2838,28177,29536,57714,0,0,0,0,0,0,0,0,0,0,0,0,89,99,184,3077,3532,6613,735,803,1534,3903,4434,8335,870,986,1852,29096,30729,59820,2113,2256,4370,32075,33971,66045,453,118,568,2341,500,2842,10,10,22,2809,620,3433
Ipswich Hinterland,31002,6871,14357,70,75,144,7747,7164,14914,100,73,171,1923,1473,3395,26,20,47,2052,1561,3613,65,59,123,2230,1841,4078,44,31,71,2342,1933,4276,7,5,15,82,50,132,3,3,11,92,63,158,1011,1072,2091,25078,25308,50387,2082,2189,4269,28178,28567,56742,3,6,6,30,15,43,12,14,30,46,38,85,35,31,66,554,608,1156,63,62,126,652,692,1351,1057,1104,2160,25658,25928,51586,2168,2264,4428,28876,29302,58180,131,4,139,805,290,1101,50,29,82,989,325,1318
Ipswich Inner,31003,10329,20334,71,90,165,10530,10832,21360,178,137,310,2332,2080,4415,28,23,56,2540,2246,4783,113,110,221,2360,2690,5053,37,31,71,2512,2828,5346,8,13,19,205,172,371,0,6,3,211,187,395,2185,2123,4306,40163,41420,81577,2449,2487,4944,44794,46031,90830,0,0,0,7,3,14,3,0,3,11,3,12,187,210,404,2599,3314,5918,402,472,872,3184,4000,7190,2372,2340,4708,42762,44736,87501,2852,2962,5814,47994,50038,98031,59,37,100,563,596,1150,69,64,136,695,694,1385
Springfield - Redbank,31004,6178,12451,44,56,97,6524,6488,13011,101,66,166,1359,1216,2579,3,12,21,1468,1299,2758,57,45,99,985,1062,2051,5,12,15,1042,1118,2165,0,3,5,189,296,486,0,3,4,195,303,491,1300,1367,2671,33603,34448,68050,1817,1932,3749,36723,37747,74465,0,0,0,3,3,8,4,0,4,5,4,11,83,102,186,2486,2555,5038,357,366,721,2926,3020,5947,1386,1466,2856,36086,37001,73091,2175,2297,4479,39651,40770,80422,9,7,16,101,89,189,27,19,45,131,116,249
Mackay,31202,11715,24617,109,108,216,13540,12361,25902,161,170,330,2603,2146,4753,23,25,47,2786,2339,5128,140,126,264,2701,2394,5097,32,40,75,2868,2563,5428,20,17,39,119,90,209,3,0,3,141,113,253,2299,2521,4824,41172,42234,83411,2518,2510,5027,45994,47262,93257,0,0,0,95,74,168,17,7,25,116,85,198,278,324,599,4218,4604,8818,526,515,1043,5022,5436,10459,2578,2846,5423,45482,46916,92398,3068,3027,6097,51128,52786,103914,27,15,40,383,472,855,96,90,186,503,573,1077
Whitsunday,31203,1835,4120,30,23,47,2368,1916,4286,13,25,32,439,337,771,12,4,13,454,362,820,8,17,18,301,252,551,0,3,5,310,270,578,3,0,3,12,19,32,0,0,0,18,19,30,186,214,398,6083,6018,12102,575,544,1122,6855,6774,13630,0,0,0,17,11,26,10,5,10,23,14,37,52,69,121,1291,1266,2555,206,224,430,1545,1554,3103,240,277,521,7393,7292,14685,791,776,1564,8421,8346,16769,10,5,16,891,749,1639,497,407,912,1403,1164,2567
Bribie - Beachmere,31301,4709,9012,36,46,79,4441,4843,9285,44,31,78,1024,1003,2028,17,16,34,1084,1054,2139,32,22,53,1115,1054,2168,12,16,31,1158,1096,2250,4,0,4,39,42,88,3,0,3,48,44,92,367,375,742,11336,11973,23312,619,647,1269,12325,13001,25324,0,0,0,0,0,0,0,0,0,0,0,3,63,55,115,2305,2629,4935,166,219,381,2531,2902,5427,424,426,852,13641,14605,28246,789,870,1654,14857,15899,30756,0,0,0,94,182,277,10,9,17,106,187,290
Caboolture,31302,7009,13994,59,61,118,7311,7387,14696,96,111,208,1731,1674,3404,21,18,39,1853,1804,3654,62,50,113,1412,1329,2742,24,23,42,1501,1397,2904,9,13,16,127,106,236,0,4,4,137,118,258,1354,1423,2775,25118,26011,51128,1582,1636,3216,28047,29071,57117,0,0,0,8,5,11,0,0,0,8,5,11,153,193,345,2523,3068,5588,287,342,633,2964,3603,6570,1505,1618,3120,27647,29083,56732,1868,1980,3851,31020,32684,63697,6,9,13,292,440,731,30,38,70,326,486,816
Caboolture Hinterland,31303,1384,2891,17,9,32,1562,1436,2998,10,5,19,341,237,574,0,3,3,350,244,600,5,4,16,405,336,734,7,8,10,415,353,763,0,0,3,17,13,24,0,0,0,13,10,28,167,181,349,4948,4953,9909,498,459,955,5612,5595,11212,0,0,0,14,11,31,5,4,12,22,14,43,0,5,5,121,102,218,10,3,19,137,111,241,170,189,362,5089,5069,10154,514,471,986,5775,5723,11495,229,4,230,749,78,824,4,10,13,978,86,1064
Narangba - Burpengary,31304,6666,13219,50,69,119,6778,6936,13707,74,60,139,1538,1429,2973,11,18,22,1620,1505,3130,54,32,86,1191,1132,2323,18,8,28,1256,1175,2433,6,3,11,65,55,120,0,0,3,72,58,136,863,902,1766,25510,26323,51833,1210,1247,2456,27582,28478,56057,0,0,0,10,3,16,0,0,0,10,3,16,82,120,205,1357,1624,2978,162,181,345,1599,1926,3525,948,1023,1968,26873,27950,54825,1370,1431,2794,29187,30405,59588,0,0,0,118,247,370,3,5,14,126,259,380
Redcliffe,31305,6843,12994,49,53,100,6356,7073,13426,47,51,106,1430,1475,2902,16,19,38,1499,1542,3041,32,33,59,1302,1582,2884,13,20,32,1344,1636,2983,5,0,7,95,92,188,4,5,4,104,97,197,616,697,1312,19284,20390,39680,841,946,1790,20750,22034,42783,0,0,0,3,0,3,0,0,0,3,0,3,165,165,334,4951,6239,11185,461,550,1009,5572,6948,12525,783,858,1649,24239,26624,50864,1303,1493,2793,26326,28981,55307,9,9,17,404,646,1051,95,136,236,511,789,1299
The Hills District,31401,6893,13524,48,51,98,6760,7033,13790,22,19,47,1152,1005,2157,5,8,16,1185,1033,2217,12,7,19,826,927,1753,10,16,22,852,948,1802,0,0,3,44,60,102,0,0,0,49,57,104,503,527,1031,37703,38235,75941,1086,1092,2175,39286,39856,79141,0,0,0,9,13,23,0,3,6,14,17,29,24,25,41,1182,1711,2890,79,115,192,1278,1847,3129,523,551,1073,38892,39964,78857,1161,1206,2371,40576,41718,82298,0,0,0,41,74,113,25,48,73,67,119,185
North Lakes,31402,5958,11515,26,33,59,5722,6124,11848,34,39,74,1107,1116,2219,6,3,8,1142,1163,2304,20,18,41,808,891,1702,4,14,16,824,929,1750,3,0,0,59,65,124,0,3,0,63,65,127,635,734,1371,26408,27487,53893,1035,1118,2155,28080,29344,57422,0,0,0,0,0,0,0,0,0,0,0,0,149,157,308,4317,5277,9590,378,443,816,4843,5871,10720,789,889,1679,30727,32761,63492,1411,1560,2969,32923,35218,68142,3,0,4,85,237,321,25,53,70,112,288,395
Strathpine,31403,3736,7309,23,21,50,3682,3859,7544,28,30,61,695,635,1331,4,0,8,732,673,1401,19,19,37,636,683,1322,8,9,25,664,713,1373,5,5,6,54,56,110,3,0,3,62,60,126,461,531,993,14002,14246,28249,587,573,1158,15051,15356,30400,0,0,0,3,3,4,0,0,0,3,3,4,72,87,163,2036,2480,4517,127,150,277,2238,2722,4963,532,621,1156,16044,16729,32775,712,722,1441,17290,18078,35364,0,3,4,67,134,200,7,5,16,72,144,212
Far North,31501,1158,2875,32,21,60,3140,2523,5664,422,355,776,393,209,601,11,8,18,826,568,1396,646,622,1265,425,264,691,8,5,16,1083,884,1969,68,54,119,29,23,55,4,0,4,103,73,175,6882,7084,13969,4881,4393,9268,810,705,1515,12573,12188,24756,11,3,15,116,73,193,12,4,19,134,86,219,602,601,1206,863,703,1571,169,142,309,1630,1454,3080,7489,7696,15186,5856,5178,11028,988,853,1842,14330,13723,28054,730,130,854,508,112,620,143,67,210,1374,309,1684
Outback - North,31502,1715,4293,23,17,46,3299,2566,5868,239,194,431,487,321,803,13,7,18,735,516,1251,307,257,557,521,314,832,15,11,27,843,576,1412,50,46,96,33,22,59,3,0,4,85,70,156,2885,3081,5968,7481,6841,14326,1008,948,1955,11376,10868,22247,7,3,15,18,6,19,9,5,22,34,13,53,314,359,674,1503,1312,2817,270,225,493,2087,1895,3983,3209,3448,6654,9005,8161,17168,1287,1182,2463,13498,12787,26285,41,27,69,391,122,512,172,95,268,603,250,856
Toowoomba,31701,15113,29263,119,135,249,14771,15711,30480,198,186,377,2949,2685,5639,25,29,51,3170,2899,6067,124,102,228,3482,3789,7277,55,52,111,3661,3944,7609,14,12,19,287,291,582,11,6,18,314,309,618,2269,2404,4674,53078,56339,109418,2933,3037,5967,58276,61779,120062,0,0,0,15,18,31,8,9,18,28,27,55,286,340,633,6804,8431,15235,699,848,1550,7786,9626,17414,2555,2750,5308,59901,64790,124690,3642,3895,7535,66098,71432,137530,46,77,123,1278,1412,2696,285,401,688,1609,1888,3503
Maryborough,31905,6143,12094,80,59,139,6200,6391,12590,79,62,141,1429,1352,2777,22,14,36,1529,1428,2955,54,35,94,1723,1422,3144,26,32,65,1803,1490,3296,8,3,7,74,50,121,4,0,5,81,50,131,744,800,1538,16773,17310,34084,1312,1283,2596,18827,19389,38214,3,3,6,67,60,135,19,20,39,93,88,175,67,57,124,948,977,1923,142,138,281,1161,1172,2331,809,862,1673,17789,18345,36140,1472,1439,2912,20075,20650,40725,159,4,160,622,263,879,59,26,86,833,290,1126
Gawler - Two Wells,40201,2646,5378,28,25,58,2797,2707,5505,15,26,44,921,856,1771,13,12,25,947,892,1838,17,18,35,747,740,1485,14,11,22,778,768,1543,0,3,8,45,41,87,0,0,0,45,47,91,227,257,481,13816,14260,28074,653,655,1308,14693,15173,29862,0,0,0,7,14,19,0,0,0,13,14,26,35,33,69,1053,1311,2364,105,108,213,1197,1452,2642,260,286,547,14879,15586,30457,759,757,1519,15901,16630,32535,0,0,0,122,142,266,30,44,72,152,192,341
Playford,40202,6805,13637,68,74,144,7130,7122,14253,87,99,184,2582,2399,4975,21,38,57,2695,2531,5223,67,55,123,1909,1989,3896,31,27,60,2005,2071,4082,11,3,19,425,607,1037,11,16,23,448,625,1073,1001,1089,2090,32767,33547,66314,1860,1879,3742,35625,36520,72144,0,0,0,4,3,11,0,0,0,4,3,11,374,392,762,5313,5552,10868,706,711,1417,6400,6655,13049,1378,1480,2858,38090,39101,77188,2563,2595,5160,42032,43170,85203,16,15,33,226,437,662,56,76,133,296,530,824
Adelaide City,40101,486,988,4,9,16,521,516,1039,12,4,17,162,131,297,0,3,0,170,142,314,4,4,11,131,121,253,3,0,6,144,125,264,0,0,0,40,29,71,0,0,0,38,29,71,11,15,25,1108,1139,2247,92,79,173,1210,1240,2448,0,0,0,6,3,9,0,0,0,6,6,11,35,49,87,6652,6723,13372,683,649,1337,7371,7419,14788,44,67,112,7761,7859,15621,778,733,1505,8581,8661,17242,70,21,90,1616,1347,2970,243,130,374,1930,1499,3432
Adelaide Hills,40102,3976,8214,46,51,99,4332,4061,8390,14,3,20,1354,1201,2557,21,7,31,1394,1214,2607,13,7,20,861,858,1722,15,25,35,882,888,1769,0,4,4,47,44,93,0,3,4,48,50,96,239,257,499,30583,31606,62187,1300,1378,2674,32127,33240,65364,0,0,0,5,11,22,0,0,0,6,11,20,8,12,19,721,914,1631,69,67,134,791,990,1783,251,267,520,31313,32530,63841,1364,1443,2809,32927,34244,67170,25,0,26,261,361,620,77,49,131,365,405,776
Norwood - Payneham - St Peters,40105,1403,2628,8,11,22,1250,1423,2675,6,6,12,422,458,882,3,8,13,430,474,903,4,3,8,639,959,1597,4,15,19,649,978,1625,6,0,4,98,166,267,0,3,6,109,175,282,57,49,103,9360,9889,19247,278,349,626,9697,10283,19979,0,0,0,0,0,0,0,0,0,0,0,0,32,42,79,5559,6451,12012,328,351,681,5920,6851,12773,88,91,176,14918,16344,31260,608,700,1311,15616,17132,32753,10,11,19,341,358,702,38,27,63,385,400,785
Unley,40107,1532,2595,6,17,25,1073,1560,2632,3,6,8,383,482,865,7,6,12,394,486,878,3,7,11,403,674,1076,4,12,17,415,690,1103,0,0,0,71,97,162,0,0,0,71,95,167,40,37,79,11032,11822,22853,312,353,662,11383,12212,23600,0,0,0,0,0,0,0,0,0,0,0,0,36,37,68,4580,5614,10199,275,306,578,4895,5954,10847,75,76,151,15617,17438,33052,585,658,1245,16274,18167,34444,3,0,4,477,835,1311,61,81,135,536,913,1452
Port Adelaide - East,40203,3339,6593,34,25,59,3372,3459,6829,32,37,69,1211,1267,2478,11,15,27,1252,1317,2573,26,19,47,1515,1810,3324,23,28,48,1567,1857,3418,4,8,10,714,593,1305,8,5,12,730,604,1332,372,487,862,22989,23069,46055,869,912,1785,24232,24471,48701,0,0,0,3,0,3,0,0,0,3,0,3,109,114,219,6763,6919,13685,391,423,819,7261,7455,14721,481,602,1077,29757,29990,59739,1262,1341,2599,31500,31925,63423,137,62,193,884,565,1445,78,52,127,1093,671,1766
Salisbury,40204,9229,18684,67,85,150,9710,9551,19262,100,74,175,3195,3312,6506,29,35,66,3328,3420,6742,63,51,116,3117,3554,6676,36,46,80,3215,3649,6869,3,6,8,1124,1524,2648,4,15,24,1134,1550,2676,1091,1167,2256,53406,53897,107305,2101,2089,4184,56593,57147,113745,0,0,0,3,0,5,0,0,0,3,0,5,154,147,299,7024,7517,14533,533,553,1081,7705,8210,15916,1244,1306,2552,60427,61414,121843,2633,2637,5265,64304,65362,129662,10,3,17,597,752,1348,57,50,107,667,809,1477
Tea Tree Gully,40205,6605,12772,45,57,103,6285,6719,13003,22,24,48,1804,1947,3745,17,28,48,1845,1994,3836,13,17,31,1363,1742,3100,17,26,37,1389,1783,3179,6,0,6,102,127,228,3,3,4,104,127,237,372,383,754,38873,40155,79029,1057,1156,2209,40308,41692,81998,0,0,0,0,0,0,0,0,0,0,0,0,21,29,49,2593,3259,5856,134,172,307,2754,3456,6215,393,412,809,41469,43412,84888,1191,1329,2516,43057,45155,88211,0,0,0,388,704,1095,36,24,61,422,734,1153
Mitcham,40303,3008,5556,22,16,41,2593,3050,5644,9,4,15,871,980,1845,9,9,18,883,994,1877,10,10,18,662,893,1553,8,10,15,682,911,1590,0,0,0,71,114,186,4,0,4,74,119,191,115,129,246,23709,24852,48554,647,642,1291,24472,25626,50094,0,0,0,0,0,0,0,0,0,0,0,0,40,26,66,3807,4788,8596,193,207,404,4042,5018,9059,159,157,311,27514,29636,57154,843,853,1693,28510,30643,59155,3,8,10,386,731,1116,42,53,97,429,799,1230
Onkaparinga,40304,12669,25021,104,121,224,12645,12980,25621,60,59,119,3766,3655,7417,42,58,95,3868,3762,7631,36,52,86,2330,2534,4862,36,52,94,2406,2639,5043,9,4,10,154,145,301,3,10,12,160,155,318,1065,1157,2218,68188,70429,138620,2873,2988,5857,72123,74572,146695,0,0,0,12,13,28,4,0,8,18,10,28,90,127,220,4571,5714,10287,373,504,875,5041,6346,11382,1157,1283,2437,72775,76158,148930,3248,3490,6738,77181,80930,158111,8,3,7,430,798,1223,149,277,424,576,1080,1662
Charles Sturt,40401,6125,11778,56,73,126,5816,6313,12138,52,56,106,1980,2191,4168,13,22,38,2045,2267,4317,31,32,70,2702,3792,6493,28,49,83,2760,3876,6639,3,4,7,513,796,1307,9,10,14,525,808,1329,419,476,897,33282,34172,67458,1222,1255,2476,34929,35899,70830,0,0,0,15,4,22,0,0,0,15,4,22,236,287,520,13883,15156,29041,799,872,1671,14923,16312,31233,653,762,1417,47182,49336,96516,2030,2126,4151,49859,52219,102085,12,3,14,492,861,1354,68,62,137,575,935,1504
Port Adelaide - West,40402,3607,7267,28,25,52,3807,3762,7568,54,60,107,1333,1405,2731,15,32,46,1400,1491,2885,52,35,88,1481,1914,3390,8,33,46,1541,1982,3525,4,0,3,304,483,792,7,14,19,315,501,815,490,528,1016,18348,19003,37356,675,707,1381,19515,20238,39753,0,0,0,3,3,5,0,0,0,7,3,8,200,214,416,6279,6710,12994,424,523,949,6914,7447,14358,695,739,1435,24634,25718,50350,1099,1229,2329,26431,27689,54117,9,12,20,411,481,891,49,72,119,472,565,1036
Burnside,40103,1841,3115,19,17,38,1297,1871,3170,3,3,4,494,601,1096,10,5,12,503,609,1118,3,3,6,386,554,940,7,5,11,396,567,959,0,0,0,47,67,117,0,0,0,47,67,117,35,49,84,14585,15474,30051,370,391,764,14992,15907,30896,0,0,0,0,0,0,0,0,0,0,0,0,19,20,42,4192,5478,9672,194,251,452,4410,5751,10160,57,65,125,18775,20948,39723,568,642,1215,19399,21658,41062,5,3,14,242,502,743,32,27,53,277,534,812
Campbelltown (SA),40104,2591,4952,24,20,40,2398,2636,5035,7,11,21,771,874,1649,15,8,18,793,892,1686,4,12,15,1290,1742,3026,17,13,27,1302,1766,3070,0,0,0,212,339,550,0,3,3,212,343,556,85,111,194,17978,18502,36481,491,469,957,18560,19080,37636,0,0,0,0,0,0,0,0,0,0,0,0,33,42,71,4513,5221,9739,198,217,416,4744,5477,10222,122,149,270,22493,23730,46220,689,684,1370,23303,24559,47861,0,0,0,203,446,651,5,10,17,207,462,674
Prospect - Walkerville,40106,1086,2113,8,12,16,1059,1106,2168,12,10,14,347,371,714,3,5,13,357,385,741,8,14,17,412,544,949,9,4,14,425,559,984,3,0,3,122,93,219,3,0,3,130,96,225,71,70,143,9327,9319,18646,283,288,575,9682,9684,19361,0,0,0,0,0,0,0,0,0,0,0,0,26,27,52,3076,3172,6247,204,206,413,3311,3404,6717,99,102,194,12402,12496,24897,489,493,985,12990,13087,26081,4,3,9,152,299,458,16,27,50,177,335,506
West Torrens,40403,3034,5937,15,33,42,2955,3114,6066,22,21,48,871,995,1861,7,5,14,899,1026,1925,13,9,16,1200,1647,2847,8,18,34,1218,1672,2895,0,0,0,193,315,504,7,3,7,200,315,515,178,199,376,18806,19538,38340,596,614,1208,19575,20351,39924,0,0,0,0,0,4,0,0,0,3,0,3,78,60,139,7738,8352,16097,459,481,936,8278,8896,17170,250,262,508,26544,27891,54439,1057,1094,2149,27851,29244,57096,12,15,31,373,571,950,63,95,158,448,683,1137
Barossa,40501,2581,5378,29,33,61,2862,2633,5496,21,16,34,1017,846,1860,15,9,24,1053,871,1921,10,8,19,820,827,1649,7,16,25,838,844,1688,0,0,0,24,19,38,0,0,0,27,18,45,195,159,352,15036,14980,30021,751,751,1500,15977,15891,31867,0,0,0,16,15,31,3,0,4,20,12,31,11,6,17,511,635,1142,48,63,112,569,709,1274,207,161,367,15557,15635,31190,800,818,1619,16564,16610,33179,0,0,0,114,281,399,29,23,60,141,308,456
Lower North,40502,1651,3526,26,15,40,1930,1695,3627,7,14,21,747,627,1375,14,14,26,771,657,1430,5,14,17,709,595,1300,20,8,28,736,610,1342,0,0,0,19,9,30,0,0,0,23,9,28,171,177,347,9179,9107,18292,585,554,1137,9940,9835,19774,0,0,0,7,3,8,0,3,4,10,9,16,7,3,14,305,325,624,30,29,56,346,354,692,178,183,360,9493,9436,18924,618,581,1204,10291,10198,20485,0,0,0,103,184,288,14,29,41,113,214,334
Mid North,40503,2142,4475,45,16,62,2443,2233,4679,36,31,61,874,847,1715,10,13,25,916,887,1809,33,29,60,1002,966,1967,18,14,28,1046,1010,2059,4,3,8,29,31,66,0,0,0,40,37,71,319,343,660,10414,10613,21021,598,612,1204,11327,11564,22886,0,0,0,3,0,3,0,0,0,3,0,3,68,80,153,735,794,1537,83,98,180,893,974,1867,387,428,811,11149,11410,22559,683,703,1389,12220,12542,24760,0,3,5,203,259,460,24,23,44,225,283,515
Yorke Peninsula,40504,2237,4725,28,26,50,2562,2324,4889,23,32,53,990,862,1851,17,8,33,1029,900,1931,25,13,44,930,775,1701,15,24,37,968,814,1784,0,0,3,25,17,36,0,0,0,22,14,41,277,303,580,9987,9783,19765,558,563,1126,10828,10646,21474,0,0,0,8,3,9,0,0,0,4,3,8,15,11,27,463,465,927,57,51,111,539,520,1059,295,317,604,10458,10246,20698,623,613,1230,11371,11171,22541,0,0,0,137,268,408,8,10,20,148,274,422
Eyre Peninsula and South West,40601,3936,8340,64,37,102,4686,4190,8878,117,86,202,1457,1208,2663,21,18,35,1588,1318,2905,97,94,190,1474,1274,2747,28,25,54,1598,1396,2996,3,0,7,63,58,122,3,3,4,71,63,136,1044,1129,2171,18277,17937,36216,1156,1091,2244,20479,20157,40636,0,7,7,48,26,73,8,7,15,62,36,92,339,352,692,4308,4399,8706,484,464,946,5131,5212,10343,1381,1484,2869,22640,22354,44997,1648,1563,3210,25672,25402,51075,58,6,70,375,293,671,77,132,209,516,436,950
Outback - North and East,40602,1311,3009,25,18,48,2160,1763,3920,200,164,361,556,424,985,4,4,16,762,601,1363,216,202,420,478,402,881,9,14,23,712,616,1326,54,49,106,40,25,67,0,0,0,100,76,171,1967,2176,4143,7046,6807,13846,694,685,1372,9703,9662,19364,0,0,3,26,14,43,6,3,11,31,23,56,272,319,590,853,796,1653,172,158,335,1301,1281,2583,2236,2503,4738,7925,7617,15543,876,845,1724,11037,10966,22005,258,61,314,1030,225,1248,257,71,328,1534,354,1890
Fleurieu - Kangaroo Island,40701,4540,8819,42,57,101,4360,4656,9021,20,23,51,1470,1310,2779,17,13,30,1509,1349,2857,10,12,26,1116,1017,2139,25,18,43,1154,1051,2203,0,0,6,46,34,76,0,0,3,48,35,82,307,320,628,19447,20681,40127,1148,1236,2385,20903,22234,43137,0,0,0,6,11,19,0,0,0,13,11,21,17,20,37,962,1123,2090,97,78,175,1074,1222,2297,323,340,659,20415,21815,42235,1246,1318,2557,21986,23471,45458,3,0,0,299,481,781,47,40,87,346,523,874
