lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Laverton (S),54970,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,11,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,8,0,0,3,4,5,0,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,25,6,17,13,0,4,5,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,5,32,4,3,3,0,8,0,0,54,0,0,0,0,0,0,0,0,0,0
Mandurah (C),55110,24,206,3,42,22,4,0,0,3,300,5,74,0,4,4,0,0,0,0,94,156,1415,55,215,203,91,12,69,16,2243,3,3,0,16,3,0,0,0,0,33,79,233,30,167,166,51,9,20,11,772,123,147,66,405,237,125,19,61,15,1197,151,159,341,929,525,290,54,176,19,2645,20,8,12,57,63,73,10,26,7,282,43,25,22,144,135,77,13,45,3,506,12,17,4,27,33,18,3,13,0,127,19,44,23,80,76,59,21,41,26,382,683,2535,580,2111,1514,804,138,464,115,8943,3,21,3,0,3,0,0,0,0,36,15,59,4,0,5,0,0,3,0,85,125,250,32,44,44,28,12,22,12,572,3,22,4,0,3,0,0,0,0,37,44,277,14,46,28,6,0,0,3,422,18,85,7,6,7,0,0,0,0,127,422,2060,191,285,275,153,83,144,29,3646,4,9,9,15,3,0,5,0,0,43
Manjimup (S),55180,12,29,0,7,0,0,0,0,0,43,0,6,0,0,0,0,0,0,0,6,45,147,6,15,22,9,0,15,0,252,0,0,0,0,0,0,0,0,0,0,15,26,0,19,14,3,0,6,0,96,17,15,6,18,24,10,0,8,0,83,37,12,33,93,75,29,0,30,3,310,3,4,3,12,15,8,0,5,0,49,9,3,7,15,16,4,0,14,0,66,0,0,0,4,4,0,0,0,0,14,11,3,3,7,8,7,0,5,3,51,143,279,50,196,182,77,0,87,10,1024,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,3,0,0,0,14,9,39,0,6,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,16,35,0,7,0,0,0,0,0,62,0,8,0,0,0,0,0,0,0,11,80,219,13,23,20,12,3,29,4,404,0,0,0,0,0,0,0,0,0,4
Meekatharra (S),55250,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,15,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,3,7,0,4,0,0,0,0,0,15,0,0,0,4,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,8,22,34,4,16,10,0,0,9,3,97,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,10,41,3,0,4,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
Melville (C),55320,97,654,10,64,82,19,0,0,3,923,32,135,4,13,18,0,0,0,0,208,764,4340,166,517,1007,350,24,122,68,7365,0,3,0,10,9,0,0,0,0,23,132,475,66,225,317,97,10,38,18,1371,152,224,87,319,359,142,7,49,14,1353,148,104,255,549,485,177,24,65,27,1833,22,14,4,45,81,50,6,13,0,235,29,45,23,106,237,58,9,23,0,527,18,61,17,26,77,19,3,12,3,233,29,88,15,57,91,40,7,14,27,365,1710,7376,683,1992,2955,994,87,354,176,16323,31,78,0,4,9,3,0,0,0,127,106,768,14,3,18,4,5,0,10,939,724,1655,76,103,264,78,24,68,30,3024,36,131,3,5,19,5,3,3,0,202,228,981,19,79,116,33,11,12,7,1480,77,183,7,20,32,4,3,3,0,328,2314,7802,525,779,1447,619,167,351,148,14148,5,3,3,11,9,0,0,4,0,38
Mukinbudin (S),55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,3,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,3,0,8,3,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,8,10,3,0,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,3,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0
Tasman (M),65210,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,25,0,9,5,0,0,3,0,52,0,0,0,0,0,0,0,0,0,0,3,8,0,5,0,0,0,3,0,22,8,0,0,7,3,0,0,0,0,26,6,0,9,19,13,5,0,8,3,68,0,0,0,0,0,3,0,4,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,19,30,54,7,53,34,18,3,23,3,238,0,0,0,0,0,0,0,0,0,0,9,9,0,0,3,0,0,0,0,20,0,8,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,24,44,4,17,3,0,0,5,0,94,0,0,0,0,0,0,0,0,0,0
Menzies (S),55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,13,0,4,0,0,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Merredin (S),55460,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,23,62,0,10,11,0,0,3,0,105,0,0,0,0,0,0,0,0,0,0,4,12,0,3,6,0,0,0,0,30,5,7,0,13,12,3,0,0,0,33,12,3,16,23,18,8,6,3,0,90,0,0,0,0,12,4,0,3,0,19,3,0,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,5,3,3,3,5,0,0,4,3,26,50,105,21,63,71,18,7,19,3,361,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,7,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,32,95,4,10,10,0,0,7,0,165,0,0,0,0,0,0,0,0,0,0
Ngaanyatjarraku (S),56620,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,5,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,11,6,29,0,23,0,3,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,31,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
Mingenew (S),55530,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,9,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,17,9,0,3,11,3,7,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,9,0,0,3,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0
Mundaring (S),56090,29,192,3,22,23,3,0,0,0,273,10,51,0,3,9,0,0,0,0,71,144,989,33,140,182,46,8,35,22,1597,0,0,3,3,0,0,0,0,0,6,42,171,21,102,114,36,0,16,5,507,61,93,40,162,143,50,4,16,10,587,89,78,177,341,282,108,29,56,11,1174,12,10,5,31,45,18,6,11,0,133,15,19,14,69,88,29,4,19,0,268,6,21,3,14,29,5,0,3,0,79,15,25,15,33,37,28,7,16,11,188,484,1914,321,935,970,321,65,180,72,5266,3,13,0,0,0,0,0,0,0,16,30,128,4,7,6,3,0,0,0,169,118,281,8,12,28,3,0,3,5,466,10,29,0,3,4,0,0,0,0,44,55,269,4,21,34,5,0,5,0,399,22,65,3,17,13,0,0,0,0,117,409,1566,111,196,241,73,29,77,33,2744,0,0,3,3,0,3,0,0,0,13
Northam (S),56730,3,19,0,0,3,0,0,0,0,29,3,4,0,0,0,0,0,0,0,10,32,168,11,20,23,11,0,3,0,273,0,0,0,0,0,0,0,0,0,0,3,34,5,16,18,4,0,5,0,87,12,20,8,47,37,8,0,3,0,140,28,28,30,108,79,27,6,25,5,342,6,0,8,11,28,13,3,11,0,84,9,7,3,20,19,12,0,3,0,82,3,3,0,3,3,0,0,3,0,13,10,8,0,10,17,5,0,9,4,63,111,321,71,248,236,85,19,64,8,1155,0,3,0,0,0,0,0,0,0,5,0,16,3,0,0,0,0,0,0,15,20,28,0,3,6,4,0,0,0,58,0,0,0,0,0,0,0,0,0,3,3,30,0,6,3,0,0,0,0,42,3,8,0,0,0,0,0,0,0,17,52,240,22,28,27,13,15,10,0,410,0,0,0,0,0,0,0,0,0,0
Northampton (S),56790,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,52,0,3,11,0,0,4,3,82,0,0,0,0,0,0,0,0,0,0,10,11,3,12,3,0,0,0,0,41,0,8,0,5,10,0,0,0,0,31,7,3,15,33,19,7,0,8,0,87,0,0,0,6,3,0,0,0,0,13,3,0,0,11,7,0,0,0,0,22,3,0,0,0,0,0,0,0,0,4,4,3,0,0,3,7,0,0,0,28,47,90,18,70,55,20,7,22,3,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,22,71,0,6,12,4,0,3,3,126,0,0,0,0,0,0,0,0,0,0
Waratah/Wynyard (M),65410,4,32,0,9,0,0,0,0,0,46,4,8,0,0,5,0,0,0,0,19,34,253,3,14,19,4,0,3,4,336,0,0,0,0,0,0,0,0,0,3,10,43,3,24,21,7,0,0,4,102,19,26,15,69,34,12,0,10,7,187,30,22,46,167,123,48,10,42,7,508,0,4,3,14,15,26,0,7,7,79,3,7,4,31,15,11,0,11,3,91,0,3,0,0,3,3,0,0,0,14,8,7,0,16,11,14,0,7,9,73,127,467,69,357,263,122,13,87,33,1537,0,10,0,0,0,0,0,0,0,10,0,15,0,0,3,0,0,0,0,24,20,47,0,3,5,3,0,0,0,76,0,3,0,0,0,0,0,0,0,6,9,40,4,9,0,0,0,0,0,70,4,15,3,0,8,0,0,0,0,33,80,378,8,24,24,4,6,8,9,539,0,0,0,4,0,0,0,0,0,7
Moora (S),55600,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,46,0,3,12,4,0,5,0,82,0,0,0,0,0,0,0,0,0,0,5,7,0,6,8,0,0,0,0,29,6,3,0,15,4,3,0,0,0,29,9,0,3,24,23,10,0,3,0,77,0,0,0,3,3,0,0,3,0,8,0,0,0,4,6,3,0,3,0,17,0,0,0,0,0,0,0,0,0,6,3,0,0,3,7,5,0,3,0,23,39,70,14,57,58,26,4,16,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,33,63,3,4,12,3,3,3,0,125,0,0,0,0,0,0,0,0,0,0
Subiaco (C),57980,32,156,4,3,30,5,0,0,0,236,9,27,0,0,3,0,0,0,0,42,192,1125,38,132,210,89,3,30,19,1840,0,0,0,0,0,0,0,0,0,6,29,77,10,21,38,17,0,5,0,195,19,31,11,46,44,22,0,3,3,180,12,22,32,64,52,27,3,12,0,216,0,3,0,3,14,8,0,3,0,24,8,9,3,11,16,7,0,3,0,69,8,12,5,3,4,3,0,4,0,26,7,15,5,13,7,3,0,0,7,54,433,1995,120,315,482,193,6,68,40,3656,3,19,0,0,3,0,0,0,0,28,36,466,0,10,14,0,4,0,4,531,263,656,33,26,74,31,3,27,21,1133,10,37,3,0,6,0,0,0,0,61,67,237,6,11,39,10,0,0,4,374,19,40,4,4,3,0,0,0,0,69,524,2219,106,204,317,165,28,85,36,3689,0,0,0,0,0,0,0,0,0,9
Swan (C),58050,52,306,13,87,58,6,0,4,3,529,24,88,4,13,15,0,0,0,0,137,425,2644,140,566,708,285,36,172,57,5035,6,10,0,14,11,7,0,8,6,65,148,327,76,280,315,81,21,52,13,1323,263,318,141,779,583,229,24,96,24,2469,310,254,597,1528,1188,463,105,274,54,4777,56,28,26,102,187,119,7,57,3,584,69,54,46,249,287,128,17,64,10,917,23,51,20,67,82,22,3,26,3,296,39,83,35,130,151,105,23,51,51,671,1515,4629,1115,3913,3697,1503,244,855,249,17729,14,28,0,6,8,0,0,0,0,56,29,174,6,4,8,0,0,3,3,229,235,694,62,125,182,77,54,56,21,1518,21,49,5,8,15,4,4,3,0,99,118,450,25,100,81,15,17,13,3,822,42,127,3,18,22,3,0,3,3,224,1060,4153,507,819,990,479,270,337,98,8721,9,7,7,19,11,10,7,13,5,89
Morawa (S),55670,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,15,3,4,0,0,0,0,0,3,0,7,5,4,0,3,4,0,0,0,0,16,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,31,3,10,10,8,0,10,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,20,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
Mount Magnet (S),55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,14,0,3,5,0,0,7,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
Nungarin (S),56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,13,4,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,16,15,5,3,3,3,0,4,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
Tammin (S),58190,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,6,0,3,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,11,0,4,8,0,0,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,6,0,3,3,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0
Three Springs (S),58260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,10,3,0,0,4,7,0,0,6,0,16,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,11,5,0,0,7,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,3,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
Mosman Park (T),55740,15,67,3,6,17,0,0,0,3,101,6,11,0,0,7,0,0,0,0,18,93,428,20,60,104,38,4,11,11,767,0,0,0,0,0,0,0,0,0,0,10,29,4,26,32,11,0,6,0,115,6,16,0,24,16,11,0,0,0,81,9,12,13,34,24,10,0,3,0,98,0,0,0,4,0,0,0,0,0,10,5,3,0,8,17,3,3,0,0,43,3,8,0,0,8,3,0,3,0,23,0,10,3,3,5,9,0,3,0,35,197,784,43,177,243,80,3,36,22,1583,0,11,0,0,0,0,0,0,0,11,22,116,0,0,0,0,0,0,3,144,115,236,4,10,25,13,0,6,9,415,7,10,0,0,0,0,0,0,0,20,21,89,4,7,22,3,0,0,5,144,8,13,0,0,5,0,0,0,0,27,285,822,55,98,147,67,8,33,22,1539,0,0,0,0,0,0,0,0,0,3
Nannup (S),56300,4,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,14,0,4,4,4,0,5,0,36,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,17,3,3,0,10,0,5,0,0,0,18,3,4,4,12,6,6,0,3,0,38,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,37,3,31,18,20,0,14,0,154,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,21,27,0,7,4,4,3,8,0,70,0,0,0,0,0,0,0,0,0,4
