lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Lower Eyre Peninsula (DC),43710,0,0,0,18,8,22,0,0,0,0,0,0,0,0,0,892,765,1655,33,54,92,22,3,22,8,0,8,6,0,12,13,7,18,63,43,104,1058,880,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,11,14,3,16,0,0,0,0,0,0,4,0,4,4,0,4,142,120,265,115,169,288,15,16,33,1350,1187,2536
Loxton Waikerie (DC),43790,0,0,0,8,4,12,3,0,3,0,0,0,6,0,6,1870,1546,3413,83,100,185,42,0,42,15,0,16,16,5,21,33,9,46,136,109,244,2215,1775,3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,34,26,13,36,0,0,0,0,0,0,3,3,5,7,3,8,191,172,366,181,354,530,33,28,65,2658,2338,4989
Mallala (DC),43920,5,9,14,14,4,17,0,0,0,0,0,0,0,0,0,1639,1334,2974,62,63,127,87,8,96,17,0,17,3,0,3,25,3,30,57,37,93,1915,1461,3377,0,0,0,0,0,0,0,0,0,8,6,18,0,3,4,0,0,0,11,14,23,0,0,0,0,0,0,0,5,7,0,3,3,0,0,0,0,8,12,17,0,17,21,26,48,0,6,6,0,0,0,0,0,0,0,6,6,119,113,230,166,238,405,18,18,38,2244,1862,4106
Mount Gambier (C),44620,0,0,3,30,15,43,5,0,5,0,0,0,10,17,22,4623,4138,8758,339,296,635,69,0,69,37,8,43,58,6,66,48,20,69,142,124,270,5354,4625,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,45,7,58,49,10,66,0,0,0,0,0,0,0,0,0,0,4,4,95,152,247,415,788,1205,67,55,123,5982,5633,11612
Mount Remarkable (DC),44830,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,373,332,701,12,22,41,16,0,16,3,0,3,5,0,7,15,5,19,46,35,84,477,399,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,8,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,127,89,222,53,72,129,14,11,21,684,572,1252
Murray Bridge (RC),45040,0,4,4,20,8,23,3,0,0,0,0,0,6,5,10,3257,2622,5876,257,438,694,66,4,68,36,4,40,24,8,30,45,17,62,163,125,287,3876,3230,7102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,0,3,5,0,0,0,5,13,21,37,18,48,40,34,70,0,0,0,0,0,0,3,0,3,3,0,6,183,179,361,321,502,819,67,45,106,4489,3986,8470
Flinders Ranges (DC),41830,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,195,191,383,15,11,24,12,0,12,3,0,6,0,4,4,4,6,11,27,48,78,262,261,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,23,59,45,53,92,6,7,11,347,341,688
Franklin Harbour (DC),41960,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,154,130,282,6,8,17,9,0,9,3,0,6,0,4,8,7,0,4,14,15,32,208,164,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,19,42,44,56,100,7,3,17,295,237,533
Gawler (T),42030,138,187,324,15,13,27,0,0,0,0,0,3,3,0,4,3754,3336,7085,198,209,414,60,3,61,35,0,36,15,3,15,37,14,50,72,101,171,4326,3864,8193,22,21,36,0,0,0,0,0,9,25,42,66,4,9,15,3,0,3,55,73,127,0,0,0,0,0,0,0,4,5,0,3,5,0,0,0,3,9,11,28,17,39,82,96,182,7,17,21,0,0,0,0,0,0,7,17,19,111,178,293,429,652,1076,36,48,84,4992,4855,9847
Holdfast Bay (C),42600,279,284,563,182,203,379,0,0,0,226,288,519,25,13,32,5627,5099,10731,244,361,613,61,0,61,72,13,81,197,57,252,83,31,115,207,263,467,7192,6620,13814,8,16,24,0,0,0,4,10,14,24,26,47,3,6,8,9,3,13,46,59,105,0,0,0,13,13,29,18,16,30,3,8,12,4,0,4,36,44,77,101,80,175,182,178,361,11,4,20,4,11,12,8,4,10,20,21,40,363,470,833,632,1118,1752,56,67,127,8448,8471,16922
Kimba (DC),43220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,111,279,11,11,21,4,0,4,0,0,0,0,0,0,8,0,10,32,25,59,222,153,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,106,21,25,43,3,3,3,292,236,526
Kingston (DC) (SA),43360,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,351,270,618,25,25,54,14,0,14,3,0,3,7,4,11,8,0,4,43,30,71,444,330,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,63,65,129,51,70,121,10,11,21,573,476,1050
Light (RegC),43650,21,34,56,11,3,11,0,0,0,0,0,0,0,3,3,2806,2384,5184,107,115,225,71,3,80,22,0,22,11,0,10,50,12,62,119,88,207,3214,2645,5863,3,0,3,0,0,0,0,0,0,19,28,43,3,0,4,0,0,0,29,28,54,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,4,31,7,41,61,37,100,0,6,6,0,0,0,3,0,3,4,6,8,230,229,456,313,499,806,36,37,71,3851,3454,7309
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8
Marion (C),44060,880,856,1737,593,768,1362,6,0,6,210,334,543,55,25,73,14405,12695,27100,620,1112,1734,173,0,172,213,27,235,311,74,382,223,49,269,302,303,602,17972,16241,34222,102,77,178,0,0,0,18,16,43,116,136,253,15,23,37,10,11,25,264,274,533,0,0,0,18,15,32,30,85,111,17,55,72,7,9,16,75,156,231,228,210,436,565,637,1200,44,51,96,9,24,30,9,6,15,58,81,139,528,677,1204,1688,3090,4781,155,161,316,20970,20896,41862
Mid Murray (DC),44210,3,0,3,6,3,9,0,0,0,0,0,0,0,0,0,1180,927,2116,57,70,121,39,0,35,12,0,10,11,0,11,25,3,25,95,62,154,1424,1066,2495,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,8,5,21,16,35,24,21,49,0,0,0,0,0,0,0,0,4,0,0,4,178,143,318,158,216,370,28,18,47,1814,1472,3287
Mitcham (C),44340,425,353,774,630,743,1369,5,0,7,30,45,69,43,16,55,10286,9300,19585,489,856,1341,105,3,105,138,11,150,473,120,587,137,31,164,339,274,614,13077,11755,24827,39,30,73,0,0,0,0,3,3,71,69,143,4,12,15,23,3,23,131,121,259,0,0,0,9,3,12,37,85,119,18,37,51,8,6,16,75,132,201,143,113,257,350,369,718,20,22,39,5,9,13,12,5,20,39,36,71,679,841,1514,1259,2339,3598,91,100,199,15489,15435,30924
Mount Barker (DC),44550,8,0,7,248,266,519,0,0,0,0,0,0,3,4,8,5970,5064,11036,314,416,730,115,0,118,43,3,44,30,9,37,78,20,94,171,145,312,6980,5934,12909,4,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,66,94,158,11,18,37,4,0,6,88,118,201,51,25,74,150,142,291,5,0,5,6,8,15,4,0,6,18,7,25,397,505,905,774,1328,2100,72,80,154,8382,7999,16379
Port Lincoln (C),46300,0,0,0,13,3,16,0,0,0,0,0,0,12,20,31,2302,2145,4447,180,151,331,34,0,34,34,4,36,22,4,25,39,5,49,102,73,170,2738,2404,5140,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,34,28,12,43,0,0,0,0,0,0,0,0,0,0,0,3,64,141,206,280,369,652,41,42,84,3155,2976,6127
Port Pirie City and Dists (M),46450,0,0,0,47,8,59,0,0,0,0,0,0,5,3,14,2365,2204,4568,162,183,343,34,0,34,41,3,49,53,5,59,39,14,56,133,108,240,2883,2534,5415,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,11,29,31,11,37,0,0,0,0,0,0,0,0,0,3,0,4,106,122,227,311,445,753,34,38,73,3363,3145,6507
Naracoorte and Lucindale (DC),45090,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1566,1140,2705,137,115,252,42,4,42,20,3,21,5,0,7,34,6,47,111,81,193,1916,1360,3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,36,28,11,40,5,0,3,0,0,0,3,0,3,3,0,6,242,188,436,171,244,418,36,27,66,2401,1837,4236
Northern Areas (DC),45120,0,0,0,4,0,4,0,0,3,0,0,0,0,0,3,622,567,1186,43,24,68,22,0,22,7,0,7,11,3,10,29,4,27,82,51,133,820,648,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,17,13,3,13,0,0,0,0,0,0,0,0,0,0,0,0,169,108,282,67,135,207,12,10,23,1079,915,1993
Norwood Payneham St Peters (C),45290,12,6,20,671,930,1596,0,0,0,0,7,8,33,24,61,5292,4634,9924,248,567,812,61,0,67,81,17,94,416,180,587,72,28,103,425,435,864,7309,6820,14128,16,13,28,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,25,14,34,0,0,0,9,5,13,27,31,54,13,31,47,19,10,27,61,80,139,71,57,127,156,146,306,0,6,6,11,10,19,9,4,15,22,17,38,384,407,789,589,997,1590,54,56,109,8514,8444,16962
Onkaparinga (C),45340,539,601,1135,899,994,1897,7,3,15,21,26,46,37,25,66,28129,24056,52186,1405,1763,3173,515,14,536,292,24,313,177,38,212,394,93,485,463,436,898,32890,28074,60962,139,98,238,0,0,0,3,6,6,232,268,503,21,42,60,19,3,21,413,421,831,0,0,0,7,8,10,68,140,206,40,54,93,3,4,11,120,207,320,349,218,562,878,836,1717,70,81,149,12,9,23,18,8,19,98,94,191,1050,1535,2587,3220,5659,8882,290,280,572,38430,36476,74900
Tumby Bay (DC),47910,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,365,286,654,21,18,38,8,0,8,5,0,5,3,3,6,4,0,7,34,22,59,453,331,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,89,70,160,56,83,133,0,5,11,604,488,1087
Boddington (S),50630,0,0,0,13,8,22,0,0,0,0,0,0,0,0,0,326,200,519,19,12,37,13,0,19,0,0,3,0,0,0,10,0,14,19,26,41,408,242,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,4,6,11,3,4,5,10,9,18,0,0,0,0,0,0,0,0,0,0,0,0,13,22,44,62,61,126,8,8,16,504,351,856
Boyup Brook (S),50770,0,0,0,8,0,4,0,3,4,0,0,0,0,0,0,199,141,339,6,18,24,7,0,7,3,0,7,0,0,0,10,6,12,39,30,64,276,197,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,4,0,0,4,95,76,171,33,62,97,6,0,7,417,331,752
Orroroo/Carrieton (DC),45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,92,201,9,14,17,8,0,13,3,0,3,3,0,3,8,0,10,18,16,30,157,122,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,62,15,41,61,0,0,0,215,185,398
Peterborough (DC),45540,0,0,0,0,0,4,0,0,0,0,0,0,0,6,6,135,167,297,14,9,21,3,4,3,7,0,7,0,0,0,5,0,5,17,20,40,179,196,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,35,29,37,69,6,8,11,235,261,493
Playford (C),45680,313,407,721,217,264,484,3,0,6,0,8,5,16,16,30,13307,10067,23380,764,845,1607,252,3,262,123,9,130,74,10,85,127,48,178,225,203,426,15435,11874,27308,89,97,182,0,0,0,5,11,14,71,119,189,17,20,39,11,0,13,194,236,429,0,0,0,0,0,0,29,53,88,8,37,47,4,4,5,43,93,139,147,71,219,382,399,785,22,67,87,3,4,12,4,0,3,30,74,102,300,486,782,1309,2012,3325,185,157,344,17639,15009,32648
Port Adelaide Enfield (C),45890,415,595,1004,1411,1893,3303,12,0,12,20,37,50,108,59,167,19560,15218,34781,960,1659,2621,214,5,224,239,24,263,395,86,478,234,93,331,447,432,874,23999,20105,44110,58,62,119,0,0,0,6,21,22,26,39,72,10,13,17,14,3,14,112,139,244,0,0,0,6,11,17,128,172,299,43,112,153,23,15,31,196,305,507,249,202,448,551,647,1198,18,45,61,18,19,39,13,8,16,52,64,117,570,752,1319,1874,3161,5031,276,214,490,27323,24942,52263
Port Augusta (C),46090,0,0,0,27,10,39,0,0,0,0,0,0,5,4,12,1783,1883,3668,157,157,318,22,0,22,12,3,18,23,3,27,33,12,42,129,115,244,2208,2195,4403,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,6,30,27,10,39,0,0,0,0,0,0,0,0,0,3,0,5,45,52,100,348,348,697,36,36,71,2667,2637,5306
Prospect (C),46510,32,17,50,401,512,913,0,0,3,5,3,11,18,13,38,3795,2998,6800,186,358,544,43,0,45,45,15,59,166,56,222,45,19,65,121,104,228,4865,4107,8968,16,11,20,0,0,0,0,0,0,3,5,11,0,0,0,3,0,3,28,13,43,0,0,0,3,6,8,18,14,36,3,18,23,3,7,10,27,48,79,37,29,69,93,90,189,0,3,3,7,5,10,6,0,10,11,9,20,140,202,346,368,657,1024,31,22,56,5511,5090,10598
Renmark Paringa (DC),46670,0,0,0,11,9,18,0,0,0,0,0,0,0,3,3,1601,1316,2916,100,128,231,21,0,21,14,3,18,11,4,18,16,11,30,103,70,175,1882,1541,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,12,9,7,19,0,0,0,0,0,0,0,0,0,0,0,0,119,101,217,158,198,356,35,26,59,2205,1865,4068
Robe (DC),46860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,173,403,10,18,31,6,0,6,4,0,3,0,3,3,9,3,13,24,14,39,272,219,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,42,45,87,35,47,87,6,3,9,366,314,677
Roxby Downs (M),46970,0,0,0,103,8,116,0,0,0,0,0,0,0,0,0,928,535,1466,98,38,133,0,0,0,6,0,9,4,5,14,18,4,21,28,49,77,1186,636,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,12,0,12,9,0,9,15,0,15,0,0,0,0,0,0,0,0,0,4,0,4,4,30,36,178,119,291,15,11,26,1406,794,2199
Salisbury (C),47140,462,621,1078,762,1115,1876,12,4,11,3,6,11,69,26,96,23411,17508,40917,1201,1669,2869,383,14,397,239,18,258,203,16,211,266,91,361,385,309,693,27390,21393,48779,170,160,329,0,0,0,11,12,23,107,151,261,15,30,41,6,3,10,312,356,665,0,0,0,3,9,15,76,176,256,25,78,107,9,6,13,111,272,386,258,92,350,681,729,1402,57,101,159,7,11,18,5,0,7,66,112,183,435,742,1174,2005,3364,5371,278,218,494,30852,26557,57408
Southern Mallee (DC),47290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,230,549,25,25,52,11,0,11,5,0,5,3,7,7,16,0,16,44,48,87,420,303,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,82,66,147,34,57,91,9,6,16,540,435,978
Streaky Bay (DC),47490,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,324,240,559,22,23,41,15,0,15,0,0,0,7,0,7,9,3,8,42,33,80,421,299,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,47,53,102,62,66,125,14,9,22,553,432,988
Tatiara (DC),47630,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,1241,883,2128,78,91,165,30,0,32,20,0,23,18,4,21,39,12,48,124,79,199,1556,1070,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,17,19,3,23,0,0,0,0,0,0,0,0,0,0,0,0,235,178,410,106,199,305,33,33,63,1949,1475,3426
Tea Tree Gully (C),47700,16,19,36,1550,2216,3762,9,3,15,0,3,3,40,16,61,17766,14708,32475,792,1109,1903,249,13,262,174,17,191,175,15,189,239,51,293,224,216,439,21240,18385,39628,11,6,24,0,0,0,0,0,5,14,9,22,0,0,3,0,0,0,28,17,52,0,0,0,7,12,25,217,384,603,33,93,130,18,17,31,277,504,788,168,86,253,472,614,1082,5,4,11,21,28,44,3,3,9,28,35,68,556,827,1381,1772,3057,4830,166,145,311,24235,23060,47302
The Coorong (DC),47800,0,0,3,5,0,8,0,0,0,0,0,0,0,0,0,720,578,1297,36,33,66,38,0,38,12,6,18,10,6,16,30,9,45,114,79,197,972,713,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,17,15,5,20,0,0,0,0,0,0,3,0,3,3,0,3,194,155,348,82,123,205,23,8,33,1280,1006,2292
Unley (C),47980,100,83,185,518,635,1153,0,0,0,228,224,453,34,28,60,5484,4982,10465,275,591,864,37,0,37,91,16,110,558,279,841,76,36,112,410,392,806,7805,7277,15084,15,13,31,0,0,0,8,8,12,4,7,9,3,3,7,9,0,10,38,25,72,0,0,0,15,25,40,14,23,40,13,23,33,17,12,26,61,85,141,83,74,156,182,180,368,10,11,21,13,13,18,5,6,14,29,29,50,452,554,1007,639,1252,1893,42,44,90,9153,9334,18491
Victor Harbor (C),48050,4,0,4,19,5,22,0,0,0,0,0,0,7,5,8,1593,1477,3068,81,125,207,15,0,19,19,4,24,27,0,27,29,7,36,83,69,145,1873,1692,3559,0,0,0,0,0,0,0,0,0,3,8,14,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,18,8,32,26,21,45,0,0,0,0,0,0,0,0,0,0,0,3,148,193,334,263,383,651,27,27,49,2338,2314,4649
Wakefield (DC),48130,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,960,728,1692,69,48,121,37,0,43,7,0,7,11,3,17,34,4,38,111,82,187,1233,873,2110,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,23,21,5,30,0,0,0,0,0,0,0,0,0,0,0,3,165,125,288,109,203,312,33,19,50,1560,1228,2783
Whyalla (C),48540,3,0,3,194,28,216,3,3,5,0,0,0,37,13,56,2903,2664,5566,260,292,547,32,0,32,58,3,64,75,7,82,32,15,42,143,166,303,3729,3192,6922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,73,4,0,4,0,0,3,77,3,81,32,15,42,108,18,126,0,0,0,3,3,4,0,3,3,3,6,10,34,69,105,521,554,1074,34,35,68,4431,3868,8299
Bridgetown-Greenbushes (S),50840,0,0,0,24,3,23,0,0,0,0,0,0,4,0,4,625,581,1203,39,50,90,19,0,19,3,0,3,5,0,7,25,11,31,34,37,72,773,683,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,113,97,214,95,138,234,16,14,32,1008,938,1942
Brookton (S),50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,91,182,12,0,12,10,0,10,3,0,3,0,0,0,5,3,5,26,17,43,144,119,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,46,32,80,16,20,38,8,4,15,219,178,394
Broome (S),50980,4,0,3,38,24,65,0,0,0,0,0,0,9,8,14,2215,2185,4404,193,271,463,35,3,41,161,82,249,158,96,258,77,30,103,267,313,580,3167,3011,6180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,3,4,8,25,24,49,28,32,63,0,0,0,4,0,6,5,0,3,5,6,8,115,150,267,328,404,738,69,62,131,3716,3670,7379
Busselton (C),51260,4,3,8,235,28,268,3,0,3,0,0,3,12,7,19,5416,5007,10425,439,427,865,120,0,119,41,15,53,155,90,243,162,52,215,228,226,455,6815,5868,12679,3,0,5,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,3,0,5,3,0,3,10,0,6,18,3,21,70,27,98,90,40,125,0,0,0,10,0,10,9,0,12,17,0,15,394,664,1063,912,1067,1977,116,101,213,8336,7739,16075
Cambridge (T),51310,153,149,296,458,333,795,0,3,4,5,0,3,24,12,34,4134,3462,7592,214,308,523,32,0,28,62,9,68,342,94,430,61,28,93,225,253,477,5699,4647,10343,54,45,97,0,0,0,0,0,0,24,18,43,5,7,6,3,6,9,90,70,162,0,0,0,0,0,0,17,24,37,6,13,24,14,0,17,44,40,83,33,26,60,174,130,300,11,12,18,7,5,9,3,0,3,21,15,35,369,528,895,468,795,1263,46,51,96,6762,6169,12935
Coolgardie (S),51960,0,0,0,86,18,99,0,0,0,0,0,0,0,0,0,518,397,915,51,40,93,13,0,12,0,3,3,7,0,8,12,5,18,36,42,74,724,503,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,8,0,8,25,0,29,10,3,12,36,7,43,0,0,0,4,0,6,0,0,0,4,0,6,5,17,23,87,72,152,13,7,23,868,604,1476
