lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Mildura (RC),24780,4049,8621,60,50,109,4803,4309,9109,109,99,200,1980,1849,3831,31,25,59,2122,1975,4098,63,66,127,1727,1737,3457,27,31,62,1814,1834,3647,7,4,6,243,218,462,3,0,5,251,223,470,783,889,1677,19548,20184,39733,1457,1446,2901,21791,22511,44303,3,3,4,8,0,8,3,3,10,9,7,21,120,145,262,2060,2336,4394,355,325,676,2529,2801,5332,906,1036,1942,21613,22520,44129,1815,1770,3584,24328,25320,49656,0,3,6,246,398,638,93,111,202,341,506,845
Mitchell (S),24850,2800,6228,47,28,70,3525,2864,6391,28,21,53,1604,1234,2837,24,12,41,1659,1267,2930,13,14,25,910,874,1783,4,19,26,931,902,1835,0,0,0,62,42,106,0,0,0,63,46,104,276,287,567,16788,16644,33437,1295,1348,2644,18361,18278,36643,0,0,0,6,3,8,3,0,5,4,4,7,16,13,28,625,727,1348,103,119,216,737,852,1591,289,298,589,17412,17373,34790,1400,1462,2860,19108,19135,38241,13,3,16,367,221,594,56,30,85,438,259,693
Moira (S),24900,2461,5252,34,26,65,2867,2531,5395,26,12,34,1348,1049,2395,12,10,30,1392,1068,2464,18,26,38,1074,856,1928,23,17,39,1113,895,2006,0,0,0,57,53,110,0,0,0,57,51,109,221,207,425,11347,11392,22737,799,778,1583,12372,12378,24745,0,0,0,3,5,11,0,0,0,3,5,11,18,21,37,632,672,1303,66,74,140,714,771,1479,239,231,465,11985,12067,24057,872,852,1720,13091,13150,26234,0,0,0,168,234,407,30,30,56,200,266,461
Monash (C),24970,6461,12623,43,51,94,6232,6538,12767,10,8,23,2832,2976,5812,19,22,41,2867,3010,5876,9,14,23,3152,4406,7560,41,61,101,3203,4479,7683,5,0,5,695,1071,1764,9,5,14,707,1080,1788,150,145,296,61622,62399,124018,2200,2189,4389,63975,64734,128703,0,0,0,0,4,3,0,0,3,0,3,4,26,41,73,19327,21096,40420,969,1056,2031,20326,22198,42522,177,193,364,80948,83495,164449,3174,3248,6418,84302,86934,171230,10,14,23,1827,2387,4214,238,300,543,2075,2700,4777
Sutherland Shire (A),17150,21699,42477,117,148,259,21151,22077,43227,56,58,116,4326,5278,9600,38,35,74,4413,5377,9787,35,25,55,2102,2587,4689,14,28,43,2145,2645,4794,8,3,6,271,320,593,3,3,5,286,329,609,816,780,1599,71975,73002,144977,1701,1713,3412,74494,75491,149987,0,0,0,4,3,3,0,0,0,4,3,3,351,361,713,24953,28402,53358,1579,1796,3372,26877,30565,57446,1168,1143,2314,96931,101409,198333,3276,3508,6782,101378,106057,207436,13,12,20,756,1532,2290,47,67,114,813,1616,2431
Sydney (C),17200,4853,10580,37,32,69,5965,5074,11036,107,124,231,1529,1376,2907,14,14,30,1649,1515,3167,64,59,124,1370,1562,2933,17,12,36,1456,1643,3093,10,7,18,578,755,1335,10,8,13,601,770,1370,26,41,68,2249,2262,4509,144,137,281,2423,2438,4857,0,0,0,24,11,39,8,0,6,34,18,51,1014,991,1999,81777,78212,159982,9376,8702,18077,92166,87897,180066,1040,1028,2066,84052,80486,164537,9525,8842,18367,94620,90350,184969,96,60,160,4237,3574,7808,3380,1599,4981,7717,5232,12949
Tamworth Regional (A),17310,6773,13408,89,73,162,7364,7519,14878,264,270,540,1948,1944,3889,38,25,65,2248,2244,4489,199,151,349,1286,1089,2379,23,24,41,1500,1264,2768,15,13,22,76,71,152,6,0,7,96,85,181,2325,2474,4804,20260,21597,41864,1538,1634,3179,24125,25713,49837,3,0,3,15,15,26,7,0,9,18,16,36,340,364,708,1714,1848,3556,234,213,450,2288,2424,4710,2671,2838,5513,21986,23454,45446,1777,1850,3629,26432,28147,54583,71,33,103,439,468,905,69,107,179,574,612,1190
Temora (A),17350,860,1732,5,14,16,892,889,1781,5,3,13,292,259,552,3,5,12,305,272,574,4,0,7,174,179,353,5,0,4,188,184,367,3,0,3,4,8,12,0,0,0,8,8,16,70,63,127,2468,2504,4976,137,128,268,2673,2690,5364,0,0,0,0,0,4,0,0,0,0,0,4,3,0,3,115,123,235,9,17,30,126,142,266,71,62,133,2582,2623,5207,149,144,289,2800,2834,5637,0,0,0,33,55,84,0,0,0,35,55,86
Tenterfield (A),17400,842,1653,11,10,22,868,884,1752,16,20,37,266,251,518,8,0,8,287,272,563,14,13,33,210,141,350,5,4,13,236,162,396,0,0,0,9,5,16,0,0,0,14,5,20,178,183,361,2439,2509,4941,234,250,488,2847,2948,5789,0,0,0,10,0,10,3,0,3,11,0,11,8,5,10,77,78,159,34,25,56,122,111,234,183,192,375,2526,2592,5115,269,275,546,2976,3056,6035,0,0,0,5,3,7,37,69,103,42,71,115
Glenelg (S),22410,1578,3417,20,18,36,1899,1636,3532,16,17,36,915,688,1608,7,12,25,939,720,1661,14,15,33,737,595,1338,14,5,22,773,619,1390,0,3,7,19,19,42,0,0,3,24,23,48,209,214,418,7626,7649,15283,603,597,1197,8438,8462,16900,0,0,0,4,0,5,3,0,4,8,0,11,13,17,25,316,351,672,49,44,99,383,413,797,218,227,445,7950,8002,15959,654,648,1298,8820,8877,17701,0,4,4,123,190,311,9,4,9,128,199,325
Golden Plains (S),22490,1361,3304,14,16,30,1972,1396,3367,10,10,17,771,602,1374,11,11,24,798,616,1412,10,4,14,493,339,831,4,3,8,503,346,851,3,0,3,12,12,25,0,0,0,18,12,23,102,94,195,9719,9479,19201,493,501,988,10318,10072,20387,0,0,0,13,15,31,0,3,3,16,14,35,0,0,0,68,60,129,5,8,15,80,65,142,102,94,195,9810,9548,19357,497,508,1010,10410,10154,20561,0,0,0,35,52,87,3,4,9,43,57,96
Greater Bendigo (C),22620,8029,16716,99,83,179,8937,8256,17193,76,96,170,3864,3492,7355,45,48,89,3991,3627,7618,59,48,111,2585,2695,5287,50,58,104,2697,2806,5503,8,4,12,245,223,468,0,0,3,251,227,482,788,807,1597,43081,45518,88606,2591,2709,5300,46462,49035,95498,0,0,0,8,5,12,3,3,9,14,11,23,53,72,124,2758,3246,6005,311,374,686,3124,3692,6816,840,882,1723,45853,48772,94623,2907,3086,5994,49600,52738,102339,7,3,10,548,979,1530,98,133,233,655,1118,1770
Greater Dandenong (C),22670,6575,13945,69,66,131,7482,6674,14154,20,23,49,3281,3352,6638,25,35,62,3331,3417,6745,17,18,37,5085,6258,11341,61,67,131,5160,6347,11508,3,0,3,2995,3408,6402,25,23,41,3019,3431,6449,170,179,347,53737,51744,105486,2462,2221,4689,56372,54147,110515,0,0,0,8,14,24,0,0,0,9,14,21,57,72,132,16213,15585,31799,1350,1239,2594,17625,16899,34525,228,255,478,69963,67345,137303,3819,3467,7284,74001,71064,145066,3,9,11,895,1032,1926,209,158,369,1110,1196,2301
Greater Geelong (C),22750,14956,30126,132,147,282,15476,15267,30745,85,105,188,6636,6687,13323,66,81,144,6785,6869,13657,61,68,126,5047,6088,11134,79,94,180,5193,6247,11437,10,5,18,529,623,1149,15,11,26,550,642,1193,935,1020,1950,88342,93395,181733,4315,4603,8921,93591,99018,192605,0,0,0,3,4,6,0,0,3,7,8,11,102,125,232,9237,10878,20111,857,966,1816,10190,11970,22163,1038,1140,2181,97582,104280,201854,5171,5569,10738,103788,110990,214780,69,21,95,2408,2379,4782,274,412,687,2749,2815,5566
Strathfield (A),17100,1551,3000,4,14,19,1462,1570,3031,3,0,11,426,480,909,3,3,7,439,486,919,8,0,8,489,661,1144,0,4,3,494,663,1156,0,0,3,198,287,484,0,0,0,203,291,490,39,36,73,8498,8613,17107,282,283,565,8815,8926,17747,0,0,0,0,0,0,0,0,0,0,0,0,20,18,36,9641,9274,18914,907,774,1682,10570,10058,20627,60,55,107,18141,17880,36024,1189,1058,2238,19385,18988,38376,0,0,0,162,182,343,33,20,55,200,200,404
Glen Eira (C),22310,4271,8474,26,30,61,4247,4320,8564,4,3,7,1785,1815,3593,10,9,24,1798,1826,3628,3,6,3,1822,2475,4298,11,27,46,1837,2509,4343,0,0,0,310,388,692,8,5,15,312,397,707,63,69,135,36818,37978,74789,1158,1185,2340,38035,39229,77267,0,0,0,0,0,0,0,0,0,0,0,0,42,60,96,25113,27905,53020,1407,1540,2945,26562,29503,56063,107,129,231,61933,65878,127809,2560,2725,5281,64594,68729,133328,0,0,0,627,1117,1743,52,87,141,674,1211,1885
Moonee Valley (C),25060,4492,9042,44,48,86,4624,4569,9187,11,9,24,1985,1997,3979,17,20,33,2015,2028,4042,15,7,24,2567,3612,6179,22,41,64,2605,3660,6267,0,0,3,505,863,1373,6,3,12,520,869,1384,120,124,244,33255,34612,67870,1260,1321,2583,34632,36058,70690,0,0,0,0,0,0,0,0,0,0,0,0,85,67,154,17208,19406,36613,1463,1614,3076,18755,21088,39848,208,192,393,50460,54017,104483,2728,2935,5665,53390,57144,110540,0,0,3,468,695,1164,70,45,118,540,743,1284
Moorabool (S),25150,2143,4845,30,31,53,2773,2198,4971,12,19,29,1147,918,2062,16,15,26,1170,945,2122,6,3,10,690,617,1311,13,15,25,714,635,1347,0,0,0,42,24,66,3,3,3,43,29,71,166,160,326,13113,13314,26431,796,797,1600,14078,14277,28358,0,0,0,3,4,8,0,0,0,3,3,11,7,14,25,727,867,1592,76,88,164,811,969,1781,179,174,348,13848,14186,28033,871,892,1762,14896,15248,30143,0,0,0,45,94,137,14,19,31,61,106,167
Moreland (C),25250,4967,10712,68,54,126,5855,5064,10918,20,11,36,2456,2450,4905,33,32,65,2507,2492,5005,16,18,31,4307,6020,10328,49,68,123,4370,6108,10477,3,0,5,971,1534,2507,6,14,22,985,1553,2535,184,215,403,45098,46776,91874,2202,2205,4406,47479,49197,96675,0,0,0,0,0,0,0,3,0,0,0,3,166,175,341,25793,27286,53084,1884,1956,3843,27851,29423,57276,355,394,747,70892,74066,144954,4089,4169,8251,75332,78622,153952,12,11,25,724,1051,1772,137,130,266,877,1191,2067
Mornington Peninsula (S),25340,11030,22681,127,103,234,11886,11232,23115,52,44,94,4508,4399,8908,53,64,116,4610,4515,9124,30,26,54,2719,3308,6028,34,55,90,2787,3393,6178,7,3,10,245,206,452,0,5,5,247,221,468,534,523,1059,58045,61011,119053,2910,3045,5953,61489,64582,126071,0,0,0,18,11,31,3,3,5,17,15,29,47,70,116,6195,8170,14365,373,545,914,6612,8782,15400,580,596,1177,64254,69198,133450,3283,3591,6878,68123,73377,141503,38,16,51,1193,1325,2511,76,153,230,1304,1490,2796
Mount Alexander (S),25430,1147,2436,19,10,31,1323,1177,2497,11,3,14,575,504,1080,10,9,20,592,521,1112,3,3,9,378,384,765,8,13,19,385,402,782,0,0,0,17,17,32,0,0,0,18,22,38,68,72,140,7145,7588,14737,559,566,1123,7775,8223,16001,0,0,0,5,3,5,0,0,0,4,3,6,4,5,10,205,275,481,33,41,73,242,317,557,73,79,149,7357,7867,15221,588,600,1191,8023,8544,16562,47,3,49,673,93,761,34,73,101,746,168,913
Moyne (S),25490,997,2314,13,9,29,1346,1024,2370,9,3,11,640,449,1092,3,3,12,658,456,1115,8,3,16,458,363,822,4,7,7,470,370,842,0,0,0,18,11,30,0,0,0,18,18,38,87,88,172,6885,6871,13758,514,496,1013,7491,7453,14940,0,0,0,5,4,7,0,0,0,8,4,8,4,0,4,129,124,248,19,10,27,145,134,284,89,88,173,7012,6999,14011,538,505,1040,7638,7589,15229,3,0,3,33,80,116,15,8,20,46,88,140
Murrindindi (S),25620,1008,2314,14,16,22,1336,1034,2366,11,7,14,597,389,981,7,12,16,612,402,1016,10,7,15,371,293,670,8,8,13,393,307,700,0,0,0,25,14,38,0,0,0,25,17,42,85,75,161,5448,5301,10749,459,453,912,5990,5833,11819,3,5,3,21,18,39,7,5,14,29,24,60,3,0,3,233,207,446,25,22,47,265,232,499,92,80,175,5701,5529,11229,491,482,976,6284,6091,12373,0,0,0,43,99,138,5,16,18,50,107,160
Nillumbik (S),25710,2833,6288,28,21,53,3499,2882,6380,4,3,7,1292,1173,2465,16,7,23,1317,1182,2496,3,0,3,673,730,1399,3,8,10,680,742,1417,0,0,0,58,60,118,3,0,3,64,57,120,98,113,217,26662,26975,53640,895,957,1857,27660,28050,55704,0,0,0,7,3,10,0,5,5,8,9,13,0,3,3,953,1276,2235,56,94,146,1010,1379,2382,98,120,218,27617,28263,55879,952,1049,2004,28674,29433,58105,0,0,0,114,226,339,14,31,53,132,260,390
Northern Grampians (S),25810,904,1864,18,12,28,990,928,1913,10,8,22,518,468,991,8,4,10,534,484,1020,12,11,18,434,395,825,12,3,13,453,406,859,0,0,0,52,36,84,0,0,0,54,36,84,82,68,148,4571,4632,9204,297,291,588,4953,4988,9939,0,0,0,0,0,0,0,0,0,4,0,4,3,0,5,179,209,386,33,30,66,215,247,466,88,71,153,4753,4839,9590,338,322,662,5174,5230,10407,0,0,0,88,133,223,7,4,10,91,141,233
Port Phillip (C),25900,2405,5144,23,25,46,2793,2443,5237,13,4,22,897,812,1704,12,9,25,922,825,1749,13,3,20,957,1135,2089,15,19,32,986,1152,2140,4,4,9,174,246,419,0,0,3,184,250,429,17,11,30,5234,5244,10483,319,342,664,5570,5604,11172,0,0,0,0,0,0,0,0,0,0,0,0,151,160,316,35702,38228,73923,3802,4046,7844,39652,42438,82093,169,178,342,40936,43472,84404,4120,4394,8511,45225,48038,93266,20,10,26,921,614,1538,367,153,522,1307,780,2087
Pyrenees (S),25990,531,1193,4,3,9,676,547,1224,6,3,14,351,228,576,4,4,11,358,241,602,8,3,10,249,196,449,8,3,10,256,206,463,0,0,0,12,0,9,0,0,0,12,0,13,43,66,107,2824,2828,5656,234,223,454,3104,3118,6218,0,0,0,0,0,0,0,0,3,3,0,4,3,0,3,41,26,68,8,3,10,51,27,79,43,66,106,2865,2856,5730,243,226,469,3151,3151,6301,15,0,15,379,37,414,9,18,29,409,55,463
Queenscliffe (B),26080,176,319,3,0,3,150,176,326,0,0,0,53,59,115,0,0,0,54,59,115,0,0,0,39,38,83,0,3,3,39,40,84,0,0,0,3,3,4,0,0,0,3,6,7,0,3,8,971,1131,2097,78,83,161,1052,1210,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,111,185,9,13,19,81,121,205,0,3,8,1044,1242,2281,87,91,178,1133,1339,2471,0,0,0,0,0,0,0,0,0,0,0,0
South Gippsland (S),26170,2122,4676,17,14,37,2597,2160,4761,7,10,20,1161,901,2063,14,14,26,1183,923,2111,13,8,19,799,702,1500,14,11,26,824,727,1543,0,0,0,28,40,65,0,0,0,28,40,65,117,115,234,11478,11869,23349,850,907,1757,12447,12900,25344,0,0,0,5,4,11,0,0,3,7,7,12,6,4,16,343,442,782,29,36,69,382,477,860,124,124,247,11825,12313,24140,879,946,1829,12834,13384,26211,3,0,3,88,212,301,3,14,13,96,222,316
Southern Grampians (S),26260,1135,2509,13,12,34,1402,1169,2576,8,5,20,628,532,1166,5,5,10,643,552,1195,9,10,20,487,488,984,7,8,11,502,512,1012,3,0,3,27,17,39,0,0,0,30,17,40,99,115,212,6353,6601,12953,298,314,617,6751,7031,13782,0,0,0,0,4,4,0,0,4,3,3,4,5,5,10,201,244,442,20,28,51,227,275,504,105,121,222,6554,6849,13401,323,344,665,6977,7311,14290,0,3,7,117,189,305,22,32,52,140,224,360
Stonnington (C),26350,2395,4502,21,22,43,2147,2425,4576,11,4,15,861,919,1784,9,6,13,880,931,1813,6,3,9,913,1258,2171,9,18,26,928,1280,2208,3,0,3,164,298,467,0,3,3,169,300,467,38,33,76,16414,17305,33724,689,713,1406,17148,18057,35202,0,0,0,3,4,7,0,0,0,3,4,7,103,101,207,26432,30122,56555,2268,2482,4751,28807,32705,61512,148,134,276,42852,47437,90284,2964,3198,6156,45957,50762,96717,3,0,5,478,692,1172,98,112,214,581,812,1391
Strathbogie (S),26430,814,1760,16,11,28,982,831,1814,4,5,10,452,347,798,3,6,5,462,360,817,5,0,11,345,283,621,4,4,8,355,284,643,0,0,0,11,6,21,0,0,0,11,13,17,51,51,97,4027,4134,8168,311,325,637,4393,4507,8902,0,0,0,9,3,11,0,0,3,5,9,18,3,0,3,165,183,344,19,11,29,191,194,384,53,52,100,4206,4319,8528,330,335,667,4591,4707,9300,0,0,0,51,96,141,18,22,38,69,120,181
Surf Coast (S),26490,1394,3071,14,14,27,1698,1424,3123,7,3,15,583,559,1142,15,5,20,606,569,1173,3,3,5,390,360,750,5,4,8,400,361,767,0,0,0,17,24,44,0,3,3,17,29,44,78,86,169,11808,11992,23804,567,580,1143,12453,12659,25117,0,0,0,8,3,14,0,0,0,8,3,14,7,8,12,647,773,1424,62,63,125,720,836,1556,86,97,177,12468,12770,25238,631,641,1271,13177,13506,26688,3,0,4,99,147,246,18,26,50,121,174,297
Swan Hill (RC),26610,1352,2969,32,22,54,1702,1436,3135,27,42,68,736,597,1333,14,19,30,783,656,1434,29,27,55,662,589,1252,11,22,32,699,634,1333,0,3,7,130,100,233,8,3,7,141,110,254,342,377,718,7353,7322,14673,950,917,1866,8639,8614,17254,0,0,0,16,8,25,4,8,13,22,13,35,25,36,63,603,549,1159,149,115,266,784,705,1487,364,412,783,7971,7876,15851,1102,1038,2142,9446,9331,18774,0,3,5,102,160,264,19,28,51,121,195,315
Towong (S),26670,521,1143,8,3,16,645,540,1179,3,6,15,244,181,424,0,3,9,247,189,439,4,3,4,209,148,354,10,0,9,223,151,374,0,0,0,3,0,6,0,0,0,3,3,7,35,44,74,2469,2382,4848,185,149,332,2680,2571,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,40,31,75,11,14,23,62,52,105,41,46,84,2508,2414,4920,193,162,362,2740,2621,5363,0,0,0,36,48,82,6,7,13,42,52,94
Wangaratta (RC),26700,2126,4606,32,24,56,2542,2178,4719,13,16,35,981,865,1847,15,14,29,1014,897,1911,12,7,19,756,797,1552,21,15,36,787,824,1613,0,0,0,36,43,79,0,0,0,36,41,81,162,154,318,10915,11557,22470,620,648,1269,11695,12367,24063,0,0,0,7,4,8,0,0,0,7,4,8,19,22,44,722,901,1628,105,104,212,847,1027,1880,179,180,361,11642,12462,24103,726,755,1480,12551,13402,25948,0,0,0,121,265,384,48,83,128,167,350,517
Warrnambool (C),26730,2220,4603,17,24,41,2446,2280,4733,27,23,50,1142,1009,2150,17,15,36,1187,1048,2237,18,20,29,825,909,1735,8,16,29,850,943,1795,5,8,10,51,32,86,0,0,0,55,38,90,246,222,463,12187,12978,25164,688,716,1409,13120,13911,27033,0,0,0,0,0,0,3,0,4,4,0,3,16,27,45,1437,1866,3298,216,276,487,1667,2171,3832,261,250,508,13622,14840,28463,907,991,1898,14793,16080,30873,3,0,3,154,279,437,33,55,88,191,335,523
Wellington (S),26810,3263,7090,42,39,76,3901,3353,7263,21,22,46,1762,1418,3179,13,13,28,1798,1459,3254,23,18,35,1251,1028,2272,17,15,33,1279,1062,2340,3,0,5,62,66,126,0,0,0,60,63,125,240,276,515,16721,17150,33876,1237,1217,2457,18203,18642,36843,0,0,0,13,3,15,0,0,0,13,3,15,11,21,28,699,804,1501,100,95,191,803,920,1724,251,301,547,17435,17960,35387,1336,1309,2646,19017,19567,38581,54,3,60,914,260,1172,21,33,60,995,299,1291
West Wimmera (S),26890,310,691,0,6,4,384,317,701,3,0,4,167,116,282,3,0,3,172,118,287,0,5,5,152,96,249,3,3,7,151,103,256,0,0,0,7,3,7,0,0,0,4,3,8,17,12,28,1660,1595,3258,68,79,148,1747,1687,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,75,0,3,3,36,42,76,20,12,34,1692,1640,3332,66,83,148,1780,1734,3515,0,0,0,11,31,40,3,14,19,12,41,60
Whitehorse (C),26980,6144,11717,41,66,103,5628,6236,11862,16,5,24,2654,2915,5570,16,19,43,2692,2946,5632,12,6,20,2337,3470,5805,38,40,81,2381,3516,5898,8,7,11,634,923,1553,5,14,17,642,942,1583,126,118,238,53718,55877,109597,1497,1608,3106,55344,57598,112937,0,0,0,3,0,6,0,0,0,3,0,6,43,46,85,17654,20584,38236,764,921,1688,18463,21549,40014,169,158,328,71381,76456,147834,2259,2532,4788,73805,79154,152952,7,0,7,982,1525,2503,138,196,336,1123,1716,2841
Whittlesea (C),27070,9092,19466,92,83,174,10580,9290,19867,63,51,121,4524,4254,8771,54,51,104,4642,4357,9001,30,45,71,5275,6559,11833,76,98,177,5384,6697,12084,7,4,11,1175,1648,2827,10,29,39,1190,1683,2874,662,694,1355,77397,78539,155933,3481,3555,7044,81538,82793,164330,0,0,0,0,4,3,0,0,0,0,4,3,82,123,205,11704,12584,24286,706,764,1471,12487,13468,25961,748,820,1567,89094,91126,180219,4190,4321,8514,94028,96266,190296,0,3,4,518,734,1251,44,54,104,569,792,1355
Wodonga (C),27170,3335,6936,38,29,63,3730,3449,7181,35,43,73,1169,1164,2332,12,11,24,1217,1213,2427,31,26,54,779,792,1574,17,18,34,823,835,1658,4,5,6,87,72,161,0,0,0,92,77,172,368,426,791,14718,15554,30272,763,798,1558,15845,16776,32620,0,0,0,3,0,3,0,0,0,3,0,3,31,68,101,1288,1461,2750,137,161,297,1460,1689,3148,396,488,888,16012,17022,33029,900,956,1852,17304,18467,35770,8,11,21,472,291,763,84,53,133,563,355,919
Wyndham (C),27260,9905,21002,86,71,160,11299,10104,21399,43,60,106,4374,4170,8541,36,28,64,4455,4262,8716,36,22,59,3188,3914,7106,24,32,52,3246,3971,7218,10,3,9,748,1092,1841,5,10,21,758,1108,1867,653,721,1376,85158,85148,170299,4164,4114,8286,89976,89980,179962,0,0,0,3,0,3,0,0,0,3,0,3,88,75,161,13310,13949,27268,689,747,1434,14095,14773,28865,745,790,1536,98470,99102,197570,4861,4861,9721,104070,104756,208827,131,3,129,1171,385,1556,113,135,242,1412,519,1934
Yarra (C),27350,1585,3458,14,14,27,1916,1617,3534,6,10,16,745,781,1526,11,4,14,764,802,1565,13,14,26,931,1494,2424,15,14,34,958,1519,2475,3,4,6,302,630,934,6,9,10,315,643,955,30,32,62,5979,6452,12434,421,405,824,6427,6889,13318,0,0,0,0,0,0,0,0,0,0,0,0,140,136,280,29425,31584,61012,2734,2963,5695,32304,34679,66985,174,170,339,35410,38034,73439,3152,3365,6521,38733,41575,80306,9,3,12,593,472,1070,216,118,337,823,598,1416
Yarra Ranges (S),27450,9556,21344,115,88,201,12032,9757,21792,46,46,88,4783,3896,8677,55,34,90,4881,3977,8858,37,36,70,2544,2589,5138,43,46,89,2625,2672,5300,3,0,3,248,224,476,3,3,11,258,232,487,580,607,1181,63497,64654,128157,2754,2821,5573,66832,68077,134908,0,0,0,16,30,48,0,6,6,19,36,58,31,41,68,2195,2864,5052,198,208,405,2427,3109,5532,614,643,1256,65715,67546,133255,2955,3028,5988,69281,71221,140501,0,46,46,470,590,1054,112,188,298,585,815,1402
Yarriambiack (S),27630,508,1109,6,15,18,610,530,1142,3,4,8,298,229,522,6,5,8,307,234,539,8,7,15,294,238,528,3,8,9,298,247,548,0,0,0,9,18,29,0,3,3,9,24,33,45,35,78,2755,2617,5372,195,192,387,2989,2845,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,49,63,115,7,10,17,58,75,133,45,36,79,2806,2677,5482,205,206,410,3053,2915,5966,0,0,0,51,104,149,10,17,28,60,119,179
