lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Newcastle (C),15900,619,30613,124,31349,152,3301,21,3471,538,14430,112,15072,191,3578,30,3797,113,2077,15,2203,15,229,5,253,60,1922,2485,4467,1683,56144,2792,60617,771,32640,138,33549,147,2777,17,2938,569,14538,112,15218,206,4258,37,4498,97,2383,31,2510,9,315,3,322,66,2541,2274,4876,1859,59450,2608,63916,1392,63250,257,64900,303,6075,31,6410,1098,28966,223,30290,399,7833,65,8298,210,4457,40,4710,24,547,7,576,123,4458,4764,9350,3543,115590,5398,124534
North Sydney (A),15950,62,21831,63,21954,0,702,3,704,11,1420,9,1434,0,229,0,228,0,168,3,174,0,45,0,49,0,299,2169,2465,72,24690,2240,27009,58,24448,72,24580,3,876,6,886,5,2176,8,2189,4,338,4,348,0,210,0,212,3,79,0,82,4,392,2272,2666,81,28522,2356,30961,120,46280,129,46535,0,1578,11,1590,21,3597,13,3625,4,563,3,569,0,384,8,391,3,124,0,127,4,688,4439,5133,155,53220,4601,57970
Northern Beaches (A),15990,235,63207,270,63711,28,4129,20,4183,119,14115,81,14321,37,2488,27,2552,12,1619,24,1658,3,347,0,351,12,1660,4572,6241,460,87566,4995,93016,257,66793,312,67360,25,3954,30,4008,93,16310,123,16527,30,3038,34,3109,12,1978,22,2007,3,386,0,392,18,2461,4720,7207,442,94917,5245,100606,493,129997,581,131072,59,8081,50,8192,219,30431,204,30849,71,5526,63,5656,25,3592,48,3664,10,733,0,747,31,4124,9292,13446,902,182484,10238,193622
Oberon (A),16100,12,593,6,614,6,113,0,115,16,724,3,748,4,149,3,162,3,138,0,147,0,11,0,11,13,166,212,390,65,1892,220,2177,15,727,6,750,4,109,0,118,14,601,4,619,6,162,3,174,6,86,0,89,0,4,0,4,3,69,184,254,57,1753,196,2006,29,1326,10,1364,12,220,0,232,34,1325,10,1363,13,314,8,331,12,222,0,237,0,13,0,13,16,229,397,644,116,3646,420,4183
Orange (C),16150,160,5638,26,5826,75,757,3,834,239,4103,34,4379,93,995,16,1110,69,741,13,828,0,69,0,71,44,439,907,1382,680,12747,1001,14427,214,6920,37,7167,76,814,4,890,240,4073,56,4374,123,1042,13,1179,64,750,12,828,4,59,8,70,49,464,910,1412,768,14117,1033,15921,368,12555,61,12993,149,1572,8,1724,483,8175,93,8749,222,2039,28,2282,134,1495,26,1655,6,129,6,146,91,897,1811,2802,1454,26863,2038,30345
Parkes (A),16200,85,1530,10,1629,26,299,3,327,144,1682,19,1849,60,426,8,494,60,345,5,408,10,12,0,20,31,196,473,701,406,4494,519,5420,129,1823,15,1964,58,315,0,376,161,1583,8,1758,45,428,6,487,33,293,3,333,0,12,0,15,29,257,483,774,458,4725,524,5704,214,3355,20,3588,89,613,4,708,304,3266,30,3602,103,858,13,980,88,638,16,738,10,26,0,34,61,454,955,1473,868,9217,1045,11126
Parramatta (C),16260,188,61982,191,62359,32,2738,11,2784,135,9670,70,9880,43,2288,13,2343,27,2001,19,2056,8,1003,13,1024,283,2839,4639,7765,720,82523,4965,88210,185,62308,226,62720,46,2443,20,2512,139,10695,81,10907,57,2708,28,2796,27,2595,29,2646,6,1193,8,1204,108,2019,4513,6640,569,83952,4913,89424,367,124284,419,125072,79,5176,40,5290,276,20362,148,20793,105,4992,47,5143,59,4594,45,4698,11,2196,21,2226,394,4855,9151,14405,1287,166473,9873,177635
Central Coast (C) (NSW),11650,1075,49030,352,50453,352,7809,82,8244,1244,36111,327,37681,442,8986,98,9528,224,4899,94,5221,23,407,12,435,180,4138,6108,10432,3538,111384,7073,122003,1325,54522,374,56217,336,7256,76,7670,1281,39177,359,40817,445,10676,116,11236,227,5518,96,5838,18,350,3,366,187,5206,6587,11979,3806,122703,7608,134122,2397,103551,724,106672,692,15063,164,15917,2518,75294,684,78496,889,19668,210,20765,449,10417,188,11057,37,760,13,806,362,9344,12696,22410,7348,234086,14684,256122
Central Darling (A),11700,23,136,3,160,18,40,0,50,78,99,3,182,42,55,0,98,45,47,3,100,0,0,0,8,56,32,92,182,261,418,98,781,30,135,8,172,23,25,0,47,89,94,3,182,42,29,0,75,32,22,0,54,0,0,0,0,42,7,80,133,255,316,95,669,47,269,11,333,39,63,0,104,159,199,7,366,88,78,0,170,81,68,4,153,3,0,0,7,96,47,175,318,519,732,197,1448
Cessnock (C),11720,233,5031,53,5322,107,1415,19,1535,412,7241,64,7721,145,1994,31,2167,101,1190,13,1301,5,58,0,66,296,1270,1258,2822,1299,18210,1432,20940,277,6347,48,6669,116,1293,21,1435,371,6843,68,7284,168,2305,32,2507,99,1206,20,1324,5,49,0,53,54,796,1381,2233,1100,18842,1564,21505,514,11376,97,11990,223,2709,34,2968,786,14092,135,15010,318,4302,64,4678,195,2401,31,2629,12,107,0,114,350,2066,2636,5051,2397,37046,2998,42447
Clarence Valley (A),11730,209,5628,46,5888,75,1117,19,1212,309,6502,69,6883,114,1921,23,2061,86,1366,38,1491,7,67,0,75,127,867,1345,2345,924,17479,1548,19957,263,6416,61,6745,111,1197,14,1318,360,6748,100,7207,118,1849,24,1998,80,1160,22,1260,4,54,0,56,63,848,1283,2194,997,18270,1509,20781,471,12050,110,12629,186,2316,33,2532,670,13246,169,14088,237,3777,49,4059,171,2527,55,2750,9,116,0,132,189,1715,2628,4533,1926,35751,3060,40735
Cobar (A),11750,23,418,6,448,20,126,0,144,74,536,9,614,36,120,3,162,32,113,7,145,5,4,0,6,14,65,200,281,188,1389,224,1806,46,554,8,606,28,107,0,135,72,395,4,469,29,99,0,134,19,67,0,90,0,3,0,8,15,68,169,250,204,1293,183,1687,66,972,13,1055,45,237,3,281,146,932,11,1090,68,226,3,289,53,177,7,236,6,4,0,13,25,134,375,531,400,2685,414,3496
Coffs Harbour (C),11800,289,10254,72,10625,94,1809,13,1916,338,7724,75,8144,123,2088,13,2227,103,1360,19,1479,3,149,0,159,68,905,1777,2748,1023,24299,1973,27291,362,11831,80,12264,106,1811,15,1929,384,8286,89,8770,163,2108,23,2290,80,1279,18,1375,11,177,3,192,63,1123,1802,2993,1171,26608,2034,29809,654,22087,149,22890,193,3619,28,3845,728,16014,173,16907,291,4193,36,4521,181,2633,38,2858,16,331,5,347,135,2031,3576,5740,2193,50906,4005,57102
Coolamon (A),12000,11,392,0,401,5,96,4,102,5,554,4,567,7,177,0,183,0,115,0,120,0,3,0,3,0,50,168,216,29,1389,182,1598,18,571,6,587,4,89,3,91,10,485,4,509,3,156,0,168,3,77,0,74,0,4,0,4,0,60,177,240,36,1437,198,1671,23,962,8,988,4,182,3,197,16,1040,15,1076,9,330,3,349,4,190,0,195,0,7,0,7,3,111,342,455,65,2824,375,3272
Coonamble (A),12150,47,280,8,340,29,62,3,94,82,340,6,428,53,98,0,152,56,112,4,168,4,8,0,15,37,47,218,305,322,945,237,1506,102,403,8,512,46,58,0,105,123,257,6,384,53,75,0,124,36,63,5,100,7,4,0,11,39,41,217,299,397,901,234,1530,150,689,11,849,76,121,7,198,203,594,11,809,104,169,3,281,88,171,7,268,10,17,0,28,76,96,431,599,711,1847,476,3035
Burwood (A),11300,29,10839,41,10909,6,387,0,392,8,1290,11,1311,0,366,0,367,4,580,4,595,0,275,3,276,0,299,710,1012,47,14038,771,14852,24,11367,32,11427,4,334,5,335,14,1396,3,1414,8,392,3,398,6,934,3,940,0,375,3,380,0,345,743,1092,61,15134,797,15994,57,22209,70,22333,5,716,5,730,24,2683,15,2722,7,757,5,771,11,1514,8,1535,4,649,5,655,0,641,1457,2100,109,29168,1568,30849
Byron (A),11350,78,5943,54,6074,17,781,12,807,55,2444,26,2535,9,476,6,488,14,266,5,289,0,34,3,36,3,325,1507,1835,183,10261,1622,12061,93,6974,92,7166,18,759,7,780,51,2521,21,2594,9,464,9,480,7,297,3,306,3,15,3,17,7,328,1543,1880,193,11359,1685,13229,173,12917,143,13240,32,1539,17,1587,108,4968,49,5128,22,938,16,976,22,567,9,593,6,46,4,58,16,653,3057,3717,367,21617,3301,25289
Cabonne (A),11400,25,1660,9,1698,6,267,3,276,60,1611,21,1693,23,407,3,432,12,340,9,359,3,15,0,16,7,143,323,471,136,4448,367,4949,37,2084,24,2146,14,282,4,306,40,1394,18,1449,16,347,4,371,11,241,4,260,0,12,0,12,10,154,301,466,128,4513,360,5002,70,3749,35,3852,24,553,6,584,100,3005,45,3146,37,756,10,796,27,584,10,618,3,27,0,31,14,300,624,930,265,8962,728,9955
Camden (A),11450,202,12506,65,12769,54,1743,8,1800,172,8173,49,8393,56,1598,9,1661,21,843,9,871,4,112,0,111,21,518,1163,1699,526,25485,1298,27317,252,14733,70,15058,36,1510,16,1562,192,7560,46,7802,55,1673,4,1739,19,920,9,950,8,144,0,152,20,776,1175,1965,578,27324,1322,29225,454,27237,134,27831,89,3254,18,3364,359,15737,100,16194,112,3269,11,3394,43,1767,11,1827,9,256,0,264,36,1297,2337,3669,1104,52818,2619,56537
Campbelltown (C) (NSW),11500,420,27123,147,27692,140,3214,14,3367,482,14133,86,14705,207,3493,37,3734,110,2301,24,2439,12,434,0,448,61,1502,2821,4390,1442,52201,3137,56780,656,29205,152,30006,192,3022,17,3232,588,14267,101,14960,250,3819,30,4099,150,2662,15,2828,4,687,14,706,78,1683,3136,4895,1917,55349,3463,60732,1081,56328,298,57705,331,6237,30,6601,1078,28398,193,29670,454,7313,70,7832,258,4961,39,5266,20,1125,12,1161,137,3186,5958,9289,3361,107550,6599,117510
Canada Bay (A),11520,74,24017,79,24171,10,1078,9,1094,39,3742,27,3812,9,804,8,821,9,1223,5,1237,0,337,0,340,3,508,1899,2416,134,31724,2029,33888,77,25786,74,25942,7,976,9,990,33,4570,24,4624,16,1070,12,1099,11,1664,11,1686,0,467,4,472,0,704,2031,2735,140,35233,2167,37541,150,49807,150,50108,19,2053,17,2088,69,8314,49,8430,17,1881,25,1923,23,2887,16,2919,0,809,8,815,3,1213,3926,5142,280,66958,4194,71429
Canterbury-Bankstown (A),11570,278,74347,352,74975,53,5143,28,5233,206,20827,164,21203,85,5298,52,5441,53,8566,70,8687,9,3298,24,3335,38,3886,6457,10382,726,121370,7151,129246,368,75469,367,76201,61,4490,24,4573,253,20496,130,20875,100,5875,53,6036,80,10264,95,10445,7,4682,30,4722,39,3806,6600,10441,912,125070,7299,133284,647,149814,716,151176,112,9633,52,9802,461,41323,297,42076,188,11180,110,11476,132,18828,170,19128,22,7979,60,8057,85,7689,13050,20826,1640,246442,14453,262530
Carrathool (A),11600,12,305,6,324,6,80,0,84,35,330,0,363,13,92,3,106,8,98,3,108,0,8,0,8,4,46,84,130,71,960,94,1123,21,387,4,412,3,67,0,73,17,236,4,255,12,56,3,72,3,51,3,59,4,0,0,3,4,38,74,122,61,842,88,994,27,694,11,737,10,148,0,156,44,565,4,614,22,150,7,176,15,147,3,165,4,14,0,13,7,89,154,253,134,1802,182,2116
Cowra (A),12350,54,1211,14,1278,23,230,4,260,104,1629,8,1737,53,503,10,572,48,426,8,473,3,16,4,24,31,165,347,542,313,4190,394,4890,70,1527,15,1604,17,303,4,323,115,1533,22,1659,49,446,5,505,30,307,0,339,0,10,0,15,21,185,368,576,298,4310,413,5025,122,2740,28,2886,45,531,9,586,214,3163,27,3398,103,955,20,1076,76,734,6,813,3,31,3,39,51,348,721,1122,610,8501,809,9919
Cumberland (A),12380,148,49763,235,50147,30,3269,26,3321,149,12173,100,12425,52,3390,34,3476,43,5640,38,5714,8,3166,28,3203,29,2373,4018,6421,458,79773,4481,84709,169,46990,206,47368,39,2524,13,2577,156,11285,77,11518,52,3171,36,3254,38,5587,41,5670,3,3253,28,3279,16,2292,3790,6101,478,75092,4193,79766,319,96752,442,97509,65,5795,40,5895,307,23454,180,23942,97,6556,69,6730,80,11230,75,11382,16,6418,56,6485,48,4668,7811,12518,931,154867,8672,164472
Dungog (A),12700,23,950,11,981,12,205,3,222,46,1306,20,1372,19,319,0,335,23,191,5,222,0,7,0,9,3,111,223,340,124,3086,263,3474,30,1278,17,1327,16,190,3,212,48,1129,11,1192,17,264,4,287,13,158,0,168,0,7,0,7,8,121,217,339,125,3150,256,3528,57,2229,22,2307,25,401,11,430,95,2433,30,2559,32,584,7,620,37,351,4,394,0,14,0,13,11,229,433,680,249,6235,517,7001
Edward River (A),12730,20,968,7,995,16,365,3,387,29,915,20,955,16,323,8,340,13,246,3,259,0,21,0,28,3,134,320,454,101,2968,355,3420,39,1273,18,1327,10,306,4,314,42,813,16,870,22,299,3,320,13,183,0,199,0,18,0,18,4,175,334,511,123,3068,375,3564,55,2246,18,2327,27,670,8,704,69,1728,31,1825,36,615,7,664,27,427,5,459,0,39,0,41,9,306,655,966,219,6035,734,6990
Eurobodalla (A),12750,131,5253,49,5432,59,908,10,982,173,4387,48,4610,106,1232,18,1353,71,843,11,920,6,35,0,45,45,568,1053,1664,589,13234,1184,15004,147,5866,43,6054,53,1009,6,1069,211,4466,45,4717,114,1240,11,1361,77,729,14,820,5,27,0,36,49,724,1007,1786,655,14058,1138,15844,278,11114,94,11487,112,1918,20,2050,382,8853,96,9331,214,2471,31,2715,144,1575,17,1742,13,64,4,77,96,1293,2065,3455,1239,27293,2327,30854
Fairfield (C),12850,134,37461,189,37782,24,3412,33,3470,128,12299,101,12526,69,3941,49,4053,48,6986,47,7087,0,4038,21,4062,38,2324,2883,5239,443,70456,3320,74224,156,38064,171,38390,33,2864,25,2930,151,11398,66,11614,59,4217,38,4314,49,9068,67,9187,3,6389,31,6429,17,2509,2875,5404,475,74508,3279,78267,289,75525,360,76178,62,6274,59,6394,274,23690,168,24142,127,8158,78,8365,101,16056,116,16271,8,10424,58,10494,56,4826,5755,10644,916,144963,6601,152489
Federation (A),12870,12,1268,4,1279,6,617,8,632,26,1416,23,1464,3,483,10,502,6,384,0,391,0,19,0,19,7,223,370,603,63,4401,417,4883,26,1683,9,1723,4,633,0,642,18,1189,14,1224,3,396,3,405,6,312,5,322,0,12,0,12,4,241,370,619,63,4471,405,4943,39,2951,16,3002,10,1250,10,1267,46,2607,34,2692,7,879,14,900,10,692,8,711,0,26,0,26,9,463,746,1219,128,8873,821,9823
Forbes (A),12900,70,980,11,1063,25,217,0,244,88,1069,22,1175,35,334,4,378,51,262,3,322,3,18,0,17,13,129,305,449,287,3009,353,3648,107,1225,18,1350,31,215,0,250,110,978,15,1098,41,245,7,299,25,163,0,187,0,4,0,7,23,156,271,447,332,2989,310,3633,175,2209,29,2408,53,433,3,489,200,2043,37,2276,68,585,19,673,80,424,7,512,0,20,0,24,39,289,573,891,622,5999,660,7279
Georges River (A),12930,119,38556,131,38806,13,2047,14,2072,71,7314,58,7440,15,1779,19,1811,10,2177,19,2204,4,718,5,728,3,1197,2152,3359,241,53788,2400,56426,137,39829,123,40083,22,1732,18,1763,92,8391,60,8541,26,2366,18,2409,15,2982,33,3030,4,1070,4,1079,9,1411,2223,3644,303,57775,2471,60547,254,78387,253,78893,30,3779,31,3836,164,15703,114,15977,40,4149,34,4221,25,5155,44,5233,7,1787,12,1806,17,2608,4377,7002,543,111557,4871,116973
Gilgandra (A),12950,28,353,0,391,18,61,3,81,45,509,10,567,23,171,3,194,28,157,3,188,3,0,0,3,11,59,120,194,166,1313,143,1622,32,511,9,544,27,81,3,112,73,456,7,533,37,141,0,183,19,107,3,135,0,3,0,9,16,73,104,189,205,1373,121,1696,63,862,8,934,42,142,8,195,118,963,16,1099,67,306,3,373,52,265,5,323,5,9,0,9,24,133,222,387,370,2685,266,3318
Glen Innes Severn (A),13010,30,883,9,923,10,168,3,181,43,1049,8,1107,24,337,4,367,24,304,7,332,3,12,0,10,47,263,286,599,185,3013,323,3519,35,1131,12,1172,18,181,0,202,46,1071,15,1130,19,268,4,292,21,254,4,279,0,12,0,14,12,132,317,462,142,3056,360,3558,59,2011,24,2096,27,354,4,384,93,2121,28,2235,48,606,9,663,42,561,10,610,5,24,0,27,55,392,611,1059,329,6066,677,7075
Goulburn Mulwaree (A),13310,84,3812,35,3931,32,653,4,684,89,3468,42,3598,34,932,14,972,27,658,11,695,3,72,0,76,128,916,680,1723,392,10507,775,11678,107,4353,39,4497,31,658,5,695,96,3403,44,3534,45,895,13,962,25,569,7,602,3,46,3,50,21,636,631,1280,328,10549,739,11620,191,8158,76,8425,61,1308,13,1381,182,6866,82,7133,78,1827,30,1934,50,1224,17,1292,8,118,3,129,147,1548,1302,3000,726,21056,1521,23302
Greater Hume Shire (A),13340,16,1135,11,1164,4,340,4,350,29,1244,20,1286,11,392,3,409,7,265,3,275,4,11,0,12,0,122,225,352,67,3508,267,3843,29,1490,5,1527,6,355,7,369,26,1034,10,1068,12,289,4,299,3,180,3,188,0,5,0,8,4,146,242,385,77,3502,274,3848,44,2628,21,2685,10,698,15,718,54,2273,33,2356,22,685,8,711,14,446,6,463,0,13,0,17,3,268,466,740,144,7005,537,7691
Griffith (C),13450,54,3078,30,3160,35,586,8,624,150,2820,33,3005,50,628,8,686,36,745,19,800,0,137,3,146,26,333,855,1217,363,8318,951,9627,82,3575,18,3670,39,539,3,583,134,2540,33,2703,58,618,9,683,39,690,16,744,3,139,6,144,27,380,838,1249,377,8480,925,9785,133,6647,45,6830,71,1125,13,1208,286,5363,65,5706,110,1244,16,1371,83,1434,31,1540,3,280,10,288,54,713,1696,2467,742,16799,1874,19412
Gundagai (A),13510,45,1181,8,1229,18,251,4,269,46,1476,19,1534,10,405,7,429,23,333,4,361,0,12,0,12,9,161,267,438,148,3810,311,4277,47,1504,22,1570,17,271,4,290,60,1354,24,1438,30,392,6,432,16,287,8,311,0,16,0,17,6,208,253,475,177,4041,317,4526,89,2687,30,2800,29,517,5,560,105,2830,36,2975,38,798,16,854,32,627,8,672,4,30,0,29,16,371,524,914,321,7849,628,8802
Gunnedah (A),13550,85,1252,3,1341,35,241,3,280,148,1456,16,1623,50,384,11,444,46,328,3,378,7,16,0,24,41,150,331,524,414,3833,369,4619,123,1584,13,1715,43,254,6,302,168,1298,15,1484,65,329,4,397,47,210,4,267,3,13,0,19,28,194,308,532,480,3887,349,4713,209,2837,18,3058,83,494,9,581,320,2755,31,3099,117,707,16,842,95,540,12,651,9,37,0,42,72,344,638,1055,895,7720,722,9330
Gwydir (A),13660,17,523,9,547,10,104,0,115,26,619,10,656,16,181,4,204,9,214,7,235,0,10,0,7,9,109,190,316,91,1769,223,2081,23,698,9,722,7,109,0,113,26,576,11,608,12,162,0,180,5,141,3,152,0,3,0,3,3,105,177,281,75,1792,201,2069,32,1227,14,1271,16,213,0,233,49,1194,17,1261,29,345,3,383,19,359,10,388,0,7,0,9,13,214,368,600,162,3562,420,4149
Hawkesbury (C),13800,190,8777,42,9017,64,1584,0,1645,262,8271,57,8591,94,1805,12,1907,40,1052,7,1099,3,97,0,105,18,477,1367,1858,673,22054,1486,24220,245,10911,72,11223,75,1427,13,1517,242,7475,63,7784,80,1637,12,1737,56,896,10,958,5,74,3,77,27,542,1348,1921,737,22959,1522,25216,438,19682,112,20236,136,3013,19,3164,507,15741,121,16371,175,3447,22,3642,98,1947,16,2061,9,167,3,181,48,1019,2715,3783,1409,45018,3009,49434
Hay (A),13850,18,305,3,321,9,108,3,114,19,301,3,323,8,101,4,111,10,109,0,123,0,5,0,7,3,38,130,177,58,966,146,1175,13,423,3,438,3,88,0,94,10,259,3,277,9,81,3,96,5,77,0,87,0,0,0,0,3,48,128,178,41,974,141,1158,29,725,7,760,12,190,5,206,28,560,6,600,14,182,6,205,15,192,0,201,0,7,0,8,6,83,260,354,106,1940,289,2330
Penrith (C),16350,619,30041,156,30818,212,4434,24,4668,736,21246,143,22119,256,4640,38,4928,143,3018,23,3187,21,382,4,408,233,2256,3614,6110,2209,66020,4005,72232,852,34165,161,35179,212,3853,12,4077,754,20367,156,21280,226,4689,33,4951,151,3286,40,3477,9,503,3,515,218,2232,3697,6146,2421,69099,4107,75629,1463,64211,319,65992,426,8283,34,8744,1487,41612,296,43396,479,9329,70,9880,288,6306,65,6667,25,889,8,926,450,4490,7312,12258,4625,135122,8112,147858
Port Macquarie-Hastings (A),16380,252,10510,76,10849,76,1994,24,2101,327,8902,92,9320,113,2591,33,2733,77,1508,30,1616,5,72,0,76,35,1147,1748,2929,883,26733,2000,29616,326,12154,81,12565,105,2017,22,2133,322,10118,104,10545,89,2768,28,2879,50,1468,32,1551,4,70,0,74,54,1529,1754,3334,946,30123,2022,33088,580,22671,165,23412,181,4011,41,4232,649,19023,190,19872,200,5356,59,5612,122,2977,65,3166,12,139,0,151,90,2671,3503,6260,1831,56850,4018,62702
Port Stephens (A),16400,228,8824,56,9104,95,1850,12,1964,359,8712,75,9151,132,2335,26,2498,67,1165,15,1242,5,93,3,102,35,822,1873,2726,918,23809,2065,26789,290,9846,76,10210,97,1665,12,1772,339,8760,99,9199,152,2523,29,2711,61,1107,19,1187,3,70,0,76,54,995,1820,2869,983,24972,2060,28012,518,18661,128,19310,192,3517,23,3738,698,17475,173,18346,280,4864,61,5206,125,2267,41,2433,9,167,3,174,84,1820,3689,5593,1904,48776,4125,54802
Queanbeyan-Palerang Regional (A),16490,171,11610,82,11862,42,1164,18,1222,129,4286,39,4450,57,910,7,983,39,739,13,789,4,79,0,82,25,417,1540,1979,465,19205,1698,21364,221,12426,78,12720,51,977,11,1036,168,3987,47,4199,67,819,8,888,29,727,12,765,0,88,3,95,31,461,1430,1921,564,19488,1579,21627,388,24038,155,24585,90,2147,25,2258,298,8276,79,8657,123,1731,20,1868,71,1462,19,1551,3,170,3,181,58,872,2971,3901,1027,38691,3271,42992
Randwick (C),16550,274,39433,129,39838,32,1815,12,1858,135,5305,24,5464,60,1191,8,1268,34,1243,17,1297,5,300,0,309,264,2408,4040,6712,804,51695,4240,56743,315,42202,161,42680,60,1635,14,1704,177,5801,44,6014,64,1371,15,1450,54,1660,19,1731,8,438,5,445,36,1454,3951,5448,709,54562,4204,59472,586,81640,290,82515,87,3449,23,3558,311,11103,63,11485,132,2568,23,2717,90,2897,42,3027,9,737,9,755,297,3864,7992,12153,1519,106255,8441,116218
Richmond Valley (A),16610,95,2041,27,2160,38,532,9,579,149,2938,33,3122,72,942,12,1025,44,718,21,781,5,38,0,40,46,325,630,1008,443,7534,726,8711,128,2515,34,2677,37,540,9,584,148,2916,38,3101,71,776,12,858,37,670,12,719,0,20,0,20,51,353,595,993,475,7789,696,8951,222,4558,58,4830,73,1077,10,1159,304,5852,71,6226,138,1718,23,1884,83,1387,32,1499,5,58,0,60,99,675,1227,2002,915,15327,1424,17662
Rockdale (C),16650,127,27882,114,28119,11,1722,11,1747,73,5829,43,5945,14,1275,20,1313,12,2094,10,2112,0,558,11,566,12,1223,2547,3786,254,40586,2748,43588,141,28297,105,28545,21,1425,9,1452,76,6019,42,6128,21,1422,15,1455,12,2753,29,2790,0,907,8,922,8,1472,2543,4024,274,42298,2748,45323,264,56177,216,56665,34,3147,21,3201,147,11847,82,12079,41,2698,36,2771,22,4849,34,4904,0,1467,16,1490,22,2695,5089,7809,529,82883,5498,88912
Ryde (C),16700,84,33384,125,33593,10,1287,15,1307,29,4641,27,4698,15,1074,13,1091,0,1245,7,1257,5,404,0,411,3,860,1728,2586,146,42888,1906,44945,107,35286,107,35494,7,1248,3,1258,29,5484,36,5556,10,1380,9,1393,4,1704,18,1729,0,601,7,610,3,1116,1816,2934,153,46821,1993,48973,185,68666,231,69082,18,2537,17,2567,62,10124,66,10251,19,2451,19,2488,8,2952,26,2987,5,1008,8,1020,3,1974,3541,5521,303,89711,3898,93911
Shellharbour (C),16900,193,8605,59,8850,80,1692,18,1792,234,8603,71,8902,84,1981,19,2084,66,1324,12,1396,5,132,6,143,29,798,1152,1984,697,23120,1335,25151,252,9619,74,9948,76,1633,11,1721,260,8749,64,9076,88,2260,22,2373,60,1510,14,1589,5,171,7,188,36,1000,1176,2215,779,24956,1371,27109,444,18225,132,18796,159,3329,35,3518,495,17351,133,17981,179,4238,45,4458,120,2832,29,2984,11,305,10,331,65,1798,2331,4192,1476,48074,2707,52261
Shoalhaven (C),16950,402,12603,96,13099,153,2426,21,2600,548,12054,98,12696,231,3649,38,3918,148,2121,28,2299,8,109,0,118,204,2027,2476,4705,1695,34993,2756,39442,449,14328,101,14879,145,2218,26,2384,508,12534,145,13195,233,3683,53,3969,123,1961,35,2118,11,87,4,100,118,1804,2413,4336,1584,36615,2774,40975,851,26931,198,27977,292,4641,50,4985,1060,24593,242,25890,464,7329,90,7883,273,4082,63,4420,16,195,8,217,319,3832,4888,9040,3280,71604,5533,80420
Singleton (A),17000,103,2717,21,2843,30,784,4,823,163,2975,34,3168,37,661,14,704,43,408,3,447,0,19,0,25,14,173,624,813,392,7738,696,8823,90,3134,15,3245,30,525,3,556,140,2584,41,2768,59,625,13,689,25,337,6,362,5,12,0,13,17,185,573,777,362,7395,649,8411,194,5852,42,6088,58,1312,5,1376,306,5559,72,5938,93,1284,19,1396,64,744,11,811,8,33,0,37,36,361,1200,1589,755,15134,1346,17239
