lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Fremantle (C),53430,8,6,10,130,142,276,0,0,0,134,149,284,36,24,60,811,834,1643,5,0,6,850,864,1714,17,16,36,639,663,1301,8,4,13,662,686,1350,0,0,0,50,42,87,3,0,3,53,42,90,0,3,3,47,54,107,0,0,0,51,61,112,0,0,0,43,24,71,0,0,0,43,28,70,0,3,4,64,96,156,0,0,0,64,94,158,0,0,0,3,0,3,0,0,0,3,0,3,0,4,5,211,217,430,4,0,3,213,230,439,3,3,4,289,372,657,0,3,3,293,372,665,6,5,12,200,314,510,0,0,0,204,320,522,0,3,4,39,61,97,0,0,0,35,64,100,3,3,4,195,307,499,0,4,4,194,310,509,0,0,0,5,0,6,0,0,0,5,0,6,12,11,21,720,1053,1774,0,5,5,733,1067,1804,6,0,7,65,117,186,0,0,4,75,124,197,16,12,33,247,316,562,1047,1011
Kalgoorlie/Boulder (C),54280,35,24,64,174,178,359,0,0,0,214,207,420,166,172,335,1282,1251,2534,7,17,22,1457,1436,2896,92,88,175,814,818,1629,6,15,16,904,919,1819,5,4,7,34,39,69,0,0,0,36,40,74,0,3,3,7,31,39,0,0,0,7,29,42,3,13,11,77,104,179,0,0,0,83,109,197,0,8,13,87,229,315,0,3,3,85,236,322,0,0,0,3,4,6,0,0,0,3,4,6,11,28,31,207,401,609,0,3,4,220,426,647,0,0,0,99,48,147,0,0,0,98,48,147,0,5,6,75,48,131,0,0,0,79,57,136,0,3,3,15,26,42,0,0,0,15,28,42,3,8,12,92,176,273,0,0,0,99,189,287,0,0,0,0,0,0,0,0,0,0,0,0,7,13,16,290,299,590,0,0,0,297,318,612,4,3,10,50,100,154,0,0,0,55,109,163,121,113,236,267,240,504,1387,1124
Karratha (C),54310,30,36,62,164,140,308,3,3,6,199,174,374,184,174,355,977,873,1843,15,12,24,1179,1053,2230,158,129,288,495,396,889,9,10,20,661,540,1199,7,3,11,3,8,12,0,0,0,11,15,19,0,0,0,3,15,18,0,0,0,3,12,24,7,6,16,28,35,65,0,0,0,41,41,82,10,4,16,81,132,213,0,0,0,92,137,229,0,3,3,0,0,4,0,0,0,0,3,5,24,17,47,122,194,316,0,0,0,147,214,355,3,6,5,5,24,25,0,0,0,7,28,33,0,0,4,15,31,46,0,0,0,19,38,54,0,0,0,0,10,11,0,0,0,0,9,14,0,3,6,64,115,176,3,3,5,65,126,184,0,0,0,0,0,0,0,0,0,0,0,0,4,12,14,81,183,263,4,3,6,87,196,286,5,8,22,23,53,82,0,0,3,32,67,98,214,103,320,225,163,388,1443,799
Greater Geraldton (C),53800,54,42,93,187,170,360,3,3,5,240,214,459,309,287,592,1435,1466,2909,27,23,46,1769,1773,3546,170,183,357,1154,1175,2327,18,24,42,1347,1381,2723,3,3,11,52,103,158,0,0,0,63,108,166,0,5,11,32,70,103,0,0,0,31,74,109,7,13,17,82,63,149,0,0,0,91,72,161,0,9,11,89,206,298,0,0,3,92,215,310,0,0,0,4,0,3,0,0,0,5,0,7,12,32,44,267,441,708,3,0,3,280,477,754,0,9,10,34,90,127,0,0,0,38,97,138,3,5,10,33,73,101,0,0,0,37,79,112,3,0,3,10,44,62,0,0,0,16,44,60,5,9,12,61,195,253,0,0,0,61,205,265,0,0,0,0,3,4,0,0,0,0,3,4,8,21,33,142,407,546,4,0,3,151,430,582,5,6,18,61,103,167,0,0,0,65,117,181,296,179,474,372,395,765,1365,1228
Halls Creek (S),53920,26,8,35,0,0,0,0,0,0,26,8,31,155,130,277,11,15,25,0,0,0,161,139,306,74,74,155,3,0,3,0,0,0,81,74,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,3,0,0,0,3,3,5,3,0,0,4,5,9,0,0,0,9,7,17,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4,4,14,0,0,0,16,9,21,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,8,11,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,17,0,0,0,3,12,17,3,8,9,0,0,3,0,0,0,5,5,10,226,256,483,9,4,10,151,140
Harvey (S),53990,10,11,18,186,134,319,0,3,3,194,147,344,45,41,87,1337,1230,2571,10,19,25,1393,1292,2686,37,42,83,982,936,1919,9,15,21,1030,993,2030,0,0,3,35,29,65,0,0,0,34,28,67,0,3,3,13,49,62,0,0,0,13,51,63,3,3,4,77,42,122,0,0,0,84,46,130,3,0,5,53,135,189,0,0,0,54,142,194,0,0,0,3,9,8,0,0,0,3,9,8,10,9,16,176,266,440,3,0,3,193,272,466,0,0,3,37,89,123,0,0,0,38,90,125,3,3,3,20,52,71,0,0,0,19,57,74,0,0,0,13,32,46,0,0,0,13,32,46,0,7,9,57,129,185,0,0,3,59,136,196,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,123,301,423,0,0,3,127,315,442,3,6,5,30,70,100,0,0,0,31,73,108,10,10,24,222,252,473,875,811
Irwin (S),54060,0,0,0,20,29,48,0,0,0,24,29,47,3,0,3,145,119,269,6,0,7,151,122,274,6,4,16,115,95,209,0,0,4,119,105,229,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,9,4,19,0,0,0,9,4,19,0,0,3,7,19,22,0,0,0,11,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,31,50,0,0,0,18,32,53,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,7,12,19,0,0,0,7,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,31,0,0,0,7,26,31,0,0,0,3,3,7,0,0,0,3,3,7,0,0,3,52,40,100,102,97
Goomalling (S),53710,0,0,0,8,11,13,0,0,0,8,11,13,3,3,8,51,44,91,0,0,0,50,48,95,0,3,3,16,22,36,0,0,0,22,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,3,6,6,0,0,0,0,4,7,0,0,0,0,4,7,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16,0,0,0,3,14,15,0,0,0,0,3,3,0,0,0,0,3,3,0,8,8,7,5,15,49,43
Gosnells (C),53780,26,31,62,773,780,1555,5,3,5,811,817,1624,194,217,407,5341,4899,10236,34,25,61,5571,5137,10706,132,131,258,4036,3786,7827,21,29,50,4194,3947,8140,9,15,19,359,321,680,0,4,3,364,336,701,0,12,10,260,375,633,0,0,0,262,380,648,11,8,17,303,210,510,0,0,3,308,216,526,3,9,11,325,564,889,3,9,7,330,577,906,0,0,0,15,9,25,0,0,0,15,9,25,16,39,58,1257,1475,2732,7,12,13,1284,1526,2808,9,16,24,1212,1377,2583,6,3,5,1225,1392,2614,5,6,12,424,553,980,0,0,3,430,563,996,5,3,5,143,176,322,0,0,0,148,186,335,0,10,13,326,544,871,0,0,0,324,553,880,0,0,0,5,17,24,0,0,0,5,17,24,20,37,56,2115,2665,4782,5,5,14,2136,2711,4845,13,15,25,446,615,1068,0,0,0,460,632,1092,348,73,426,1843,1196,3038,2460,2144
Kalamunda (S),54200,12,5,17,359,315,678,3,3,6,373,319,694,92,72,160,2481,2448,4929,25,10,33,2600,2529,5131,65,115,183,2022,1982,4008,21,15,33,2111,2116,4220,3,5,8,104,99,202,0,0,0,109,101,211,4,3,11,43,86,133,0,0,0,44,91,141,7,0,9,178,84,260,0,0,0,178,89,271,0,0,3,118,182,302,0,0,0,126,182,303,0,0,0,3,3,3,0,0,0,3,3,3,9,16,24,446,456,902,0,3,3,463,472,933,0,10,10,367,546,911,4,4,9,374,558,930,3,3,8,109,178,295,0,0,0,113,184,298,3,0,3,65,110,170,0,0,0,70,110,171,3,3,5,153,327,476,0,0,0,159,328,484,0,0,0,0,5,12,0,0,0,0,5,12,8,12,19,699,1164,1865,3,4,10,713,1181,1892,3,3,8,142,260,407,0,3,4,150,264,415,18,11,25,483,538,1016,1349,1224
Katanning (S),54340,0,4,4,22,17,45,0,0,0,24,24,48,30,31,59,167,119,287,0,4,7,198,158,354,17,16,36,96,85,177,0,7,5,112,106,217,0,3,3,9,7,16,0,0,0,9,9,19,0,3,6,10,6,13,0,0,0,9,5,16,0,0,0,8,3,15,0,0,0,8,3,15,0,4,4,7,29,35,0,0,0,7,29,38,0,0,0,0,0,3,0,0,0,0,0,3,0,6,9,38,44,79,0,0,0,37,49,90,0,0,0,0,11,6,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,4,0,0,0,3,3,5,0,0,0,3,10,17,0,0,0,3,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,25,33,0,0,0,13,25,38,0,0,0,3,9,9,0,0,0,3,7,12,15,10,25,55,50,105,240,227
Kellerberrin (S),54410,3,0,3,3,9,11,0,0,0,9,9,12,13,5,15,43,47,96,0,0,0,59,56,111,3,3,7,32,25,53,0,0,0,35,33,60,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10,9,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,0,0,0,3,11,15,0,0,0,0,6,5,0,0,0,0,6,5,0,0,0,3,4,4,0,0,0,3,4,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,16,0,0,0,6,9,16,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,12,22,37,54,46
Kent (S),54480,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,28,36,58,3,0,3,30,33,63,0,0,0,8,9,14,0,0,0,8,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,40,21
Kojonup (S),54550,3,0,3,13,10,29,0,0,0,20,10,32,11,7,14,71,95,165,3,0,7,80,108,182,3,0,3,36,27,58,0,0,0,34,27,61,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,9,10,0,0,0,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,0,0,0,6,10,17,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,0,0,0,3,6,15,0,0,0,0,0,3,0,0,0,0,0,3,10,3,9,27,25,48,79,82
Kondinin (S),54620,3,0,3,5,4,9,0,0,0,7,4,10,11,10,14,25,36,63,0,0,0,37,49,85,0,0,0,14,5,20,0,0,0,15,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,7,13,0,0,0,0,4,4,0,0,0,0,4,4,0,3,3,14,13,22,32,22
Koorda (S),54690,0,0,0,3,0,4,0,0,0,3,0,4,0,3,3,31,21,45,0,0,0,31,18,45,0,3,3,4,3,7,0,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,9,8
Kulin (S),54760,0,0,0,3,4,10,0,0,0,3,4,10,0,0,0,31,35,68,0,0,0,31,41,68,0,0,0,11,8,20,0,0,0,11,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,3,12,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,4,3,4,28,21
Kwinana (C),54830,17,11,27,267,243,514,4,3,7,285,261,544,88,73,160,1741,1651,3397,10,12,23,1844,1739,3585,62,50,111,1051,1025,2073,12,15,28,1121,1092,2210,3,3,8,102,91,194,0,0,0,108,95,202,0,4,4,51,99,155,0,0,0,51,107,159,3,3,10,102,48,148,0,0,0,108,54,158,0,7,10,115,153,269,0,0,0,118,161,275,0,0,0,0,0,3,0,0,0,0,0,3,12,12,27,371,403,775,0,0,0,382,419,801,7,5,7,208,339,549,0,0,0,215,341,558,3,4,4,102,167,263,0,0,0,101,167,269,0,3,3,38,55,95,0,0,0,38,60,100,4,4,6,137,214,357,0,0,0,141,223,365,0,0,0,0,3,3,0,0,0,0,3,3,11,16,23,485,780,1268,0,0,0,503,792,1296,4,4,5,111,214,324,0,0,0,116,215,335,367,42,408,982,410,1397,1230,1066
Lake Grace (S),54900,0,0,0,11,5,14,0,0,0,11,5,14,5,3,6,49,70,122,0,0,0,61,70,134,0,0,4,16,20,38,0,0,0,20,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,3,4,0,0,0,0,7,8,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,19,0,0,0,4,8,19,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,19,25,51,49
Leonora (S),55040,0,0,3,5,0,8,0,0,0,8,4,8,17,9,29,23,32,63,0,0,0,42,47,89,11,3,14,3,3,8,0,0,0,17,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,6,0,0,0,3,3,3,0,0,0,4,6,11,0,0,0,9,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,7,21,0,0,0,8,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,21,0,0,0,9,9,17,0,0,0,3,6,4,0,0,0,3,6,4,7,5,12,12,4,18,213,93
Laverton (S),54970,0,0,4,0,0,0,0,4,4,0,6,10,20,29,50,11,9,17,0,0,0,31,36,67,11,11,24,0,3,5,0,0,0,15,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,0,0,0,6,5,14,0,0,0,0,3,3,0,0,0,0,3,3,3,8,9,12,7,18,152,50
Mandurah (C),55110,23,16,38,403,394,797,3,4,6,426,417,845,146,147,285,3237,3083,6317,29,14,46,3411,3242,6652,79,84,159,2355,2308,4658,11,18,32,2444,2413,4849,4,5,12,141,168,313,4,0,0,147,174,323,0,5,3,55,162,210,0,3,4,59,165,218,10,3,12,218,139,358,3,0,5,227,141,373,0,7,7,137,262,408,0,0,0,144,273,414,0,0,0,3,4,7,0,0,0,4,6,9,12,24,38,561,736,1295,9,6,9,579,759,1344,9,11,18,332,524,862,3,0,4,344,536,879,0,5,9,94,275,371,3,0,3,94,282,380,0,3,3,60,99,159,0,0,0,60,105,166,0,5,7,139,361,506,0,3,3,143,370,518,0,0,0,3,0,4,0,0,0,0,0,6,9,26,38,634,1262,1899,5,11,13,653,1301,1948,8,11,17,167,380,544,0,3,3,171,397,565,37,35,71,757,899,1655,2185,1954
Manjimup (S),55180,4,9,10,38,45,81,0,0,0,45,47,98,31,26,51,337,347,683,3,4,8,370,376,746,24,14,42,339,312,644,3,5,12,364,329,698,0,0,0,10,3,8,0,0,0,10,3,8,0,0,0,3,11,13,0,0,0,3,11,13,3,0,3,23,19,42,0,0,0,19,19,39,0,0,0,19,40,58,0,0,3,20,42,57,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,47,74,118,0,0,3,55,70,127,0,0,0,6,12,15,0,0,0,6,11,14,0,0,0,4,6,7,0,0,0,4,7,9,0,0,0,0,9,4,0,0,0,0,9,4,0,3,3,10,23,40,0,0,0,10,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,47,66,0,0,0,20,53,73,0,3,4,4,16,18,0,0,0,8,19,27,8,7,14,91,114,206,329,351
Meekatharra (S),55250,3,3,3,4,0,4,0,0,0,7,3,7,24,18,43,8,7,15,0,0,0,33,27,57,12,11,24,0,3,3,0,0,0,8,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,6,7,7,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,0,0,0,6,7,13,0,0,0,0,0,3,0,0,0,0,0,3,19,22,42,3,0,10,123,82
Melville (C),55320,7,7,21,544,570,1118,3,6,8,561,583,1142,53,51,107,4002,3725,7725,27,21,50,4081,3801,7879,35,34,69,3495,3448,6942,20,19,45,3555,3501,7051,9,6,11,202,125,326,0,0,3,205,129,339,0,3,3,134,152,291,0,0,0,134,159,297,0,0,4,185,82,266,3,0,3,190,83,277,3,0,0,183,274,452,0,3,3,186,277,461,0,0,0,7,4,15,0,0,0,7,5,14,13,14,25,712,643,1353,5,3,11,726,659,1385,11,6,16,1954,2153,4105,7,3,10,1975,2163,4135,4,3,12,596,678,1265,0,0,0,600,683,1278,3,4,4,215,233,441,3,0,3,216,238,455,4,3,6,461,662,1126,0,0,0,465,669,1140,0,0,0,11,10,20,0,0,0,11,11,27,25,19,42,3231,3731,6965,11,9,24,3271,3759,7028,0,3,4,230,379,609,0,3,5,233,384,614,40,14,61,685,936,1626,1830,1765
Mukinbudin (S),55950,0,0,0,3,0,3,0,0,0,0,0,6,3,3,6,28,19,41,0,0,0,26,23,47,0,0,0,5,8,13,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,10,3,19,13,10
